Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
17_1	17.471738676676495	11.043461773835903	7.197356200579924	4.887063845000535	3.36220119524947	2.4694439493499036	1.915513963394882	1.5280040592233473	1.292900492555094	12.657280344355208	2.997405244162764	5.2770980139401225	2.360620934989822	7.002292385032026	3.340071481580356	15.197547440073944
17_2	19.031993594694654	10.646259470627124	7.354308012671827	4.941706531793561	3.543707947138498	2.5694859940596215	2.0163945550489846	1.5708034463358536	1.323359325931892	11.443635150490207	2.305587520124154	4.149101035512004	2.4654521797333824	7.998384725212255	3.08546498144248	15.554355529183173
20_1	16.243387052887446	10.08746319355537	6.836389018201877	4.72174275235596	3.451813017802216	2.6269932773998037	2.210508166307954	1.82635931381143	1.550990233994127	18.36044083441397	5.092867295483569	8.75142528150237	2.9605324910099426	5.0853764899022735	1.7766990360535504	8.417012545317817
20_2	18.24283038363347	9.089089331760066	6.543234772425395	4.657525287545129	3.486006314458804	2.792352215306799	2.312793299876018	1.9036305404737761	1.6771588377925462	18.158603901225995	4.660825381369843	8.57952145242686	2.535387413871603	4.3146966012418995	1.5076342348484464	9.538710031743271
26	12.71344801170041	10.93468905536295	9.22535594052049	6.878569482378005	4.833344086824897	3.443720125316177	2.472047102140874	1.9309693013535074	1.5124287102821388	14.757855171446321	3.0099811379566432	4.587020913717441	1.8541280394559405	6.054423959386377	3.0174217485907247	12.774597213566969
27	12.107940607857806	7.388023678633025	4.395004017490768	2.6531207787371485	1.839162513683754	1.3124326806209068	1.0268702367316203	0.8487128747998985	0.6982963289014777	7.470091285510244	1.730339272518608	2.8920909369013716	1.3244544110496466	5.212764788272554	4.761184241136263	44.33951134715507
28	16.564002563746104	12.362056941376776	8.810568508953203	5.857694128212691	3.9802186251268705	2.93660449956485	2.261383091016331	1.8146334990617488	1.5870917639210742	16.662748797869206	3.772252367644798	5.078844381877983	1.7430221444783744	4.553941860154702	1.9736452833200635	10.041291543675126
29	12.307404805669947	10.773721123412392	8.822528639069178	6.47789663641098	4.4574792779089645	3.2570124212649834	2.4593538588487935	1.906954625193612	1.6583362450287762	17.454425718580367	3.861812850296638	5.503433789204106	2.0831370822503903	6.06749984056787	2.7922367790186207	10.11676630727487
2_1	17.433856834213394	9.008628912590853	5.242269731173577	3.4774103106475023	2.359997996979437	1.784876404622361	1.4301099074140078	1.1786264075257622	0.9714754872879403	10.823531805686578	2.783245952503427	4.6883221274804345	2.100840416656314	6.160534139756229	3.0749695748696086	27.481303990592533
2_2	18.681906047666843	8.879101563439242	5.41051178642133	3.538170297390613	2.5239721958610613	1.9076313216433352	1.5493809204386944	1.229923192333092	1.0127863796742762	9.908146938629157	2.139569343704161	3.928600525279076	1.944328136488311	6.1149820781510575	2.57449887420169	28.656490398678187
30	9.032746215696374	8.239205422626489	8.133084278367507	6.993606157439943	5.371869495458309	4.054096106010208	3.030363572346751	2.494906026102267	1.9489971819588754	19.85652759034184	4.330463579766994	5.9156888315293354	2.0087315825157632	5.272198606437862	2.3492842958997695	10.968231057501903
31	4.68187542159592	3.472754003109988	4.293733183085024	4.371149495149649	4.254867201462826	3.5234726151388562	2.9094382745419627	2.234262189812317	1.8027655622684335	14.906099375652468	3.032585558732655	4.77481302284559	1.885958259690263	5.259983850059188	2.470841701415255	36.125400285439305
32	8.921169092296736	5.879216708829893	3.588833684264615	2.283080190568038	1.4897446577117481	1.0753692216590975	0.8210258908236786	0.678392105004613	0.5671072052297941	5.689895967669287	1.4000906082967552	2.8112989008189526	1.3098216969392724	4.886436798014418	4.84139741611158	53.757119855761516
33	4.6905409096888295	3.3221502892360912	4.083839131460911	4.387581485519925	4.204419190356888	3.770517200047114	3.111563624661643	2.440107110454685	1.97786879944989	16.428881797996056	3.4193190528419826	5.392297350016513	2.2844956909722822	6.9454128455278425	3.9567019113603172	29.58430361040989
5_1	19.26655422488632	11.91133976814801	7.586928731628492	4.854735847701868	3.2185049272259376	2.2554964497544225	1.6641804442558732	1.2908638606112246	1.0676843340993134	10.281754393320183	2.4254557393598146	4.498355270165932	2.2136896035618396	6.831971815959853	3.0712623713204215	17.561222218000573
5_2	20.540191038618318	11.718528334910113	7.482706733474707	4.935272121065945	3.3700052974669132	2.1975944684620967	1.7274778335580196	1.3067949986000427	1.0706513290938788	8.972631876289793	1.9140460827362975	3.7167617243874025	2.3447638908099493	7.313695946321317	2.4243482850703724	18.964530039134843
