Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
17_1	16.932523058846744	10.981510739401418	7.248600493856749	4.896600640076882	3.3754173686363376	2.5002718006926914	1.9246327158648748	1.528804205444175	1.2989262528625891	12.71866793472444	2.996459508706941	5.189680353072941	2.3334014174086195	7.069090684902083	3.4051896598492024	15.60022316565336
17_2	18.495262952541033	10.618735910052408	7.356003234677452	4.972359491662278	3.576383725977194	2.6044931287323747	2.026668218949864	1.5765630908323631	1.3378590741722514	11.474100577849528	2.288849999066967	4.146299446291104	2.4503602404678086	8.032563455641341	3.205633389423279	15.837864063662533
20_1	15.405102650429365	9.85432752741821	6.741404667370297	4.676094190828301	3.395987226968501	2.5817169878945183	2.163288856318385	1.7805682454432221	1.5328160310307772	18.168234760946405	5.056369334418482	8.680885248363095	2.980703165458047	5.077725692154891	1.7920844132498872	10.112691001707615
20_2	18.01479965640718	8.93564250729983	6.4786951072886945	4.605284536894648	3.4924222197223123	2.783867447160645	2.3183835483312594	1.917525567667678	1.671139608429123	18.25953035157266	4.775758236439169	8.753407287948216	2.6215009864681735	4.400465655302047	1.493787902607255	9.477789380461255
26	12.739612110619442	10.921505503073407	9.206078479745297	6.876096159947474	4.833800032576131	3.443698233951884	2.462500943991321	1.926431689163672	1.5112460629736997	14.750903218538507	3.005014629507995	4.575047183246596	1.8583369874474776	6.088027964731808	3.0096044096273666	12.792096390857813
27	12.13326415124703	7.37980637539213	4.380502416593355	2.6483851635353663	1.8292011273536197	1.3083856756060985	1.0277791604871678	0.843623661472395	0.7013212354389212	7.446400832495284	1.7172856676553803	2.860476920706755	1.3076095369797722	5.207739904925249	4.745394661213362	44.462823508898
28	16.570796773451875	12.349112388432191	8.808802794187397	5.856800671479475	3.9750358481464043	2.9314254464624656	2.2544857183157863	1.81375940190318	1.5844970995254666	16.668582236074165	3.7748007271030017	5.085130900816011	1.7467435971290226	4.568716675812799	1.9779060778829916	10.033403643277525
29	12.319290184794937	10.762834234740483	8.821739664479747	6.475402852097714	4.448221132780793	3.26462374078225	2.4534542647774127	1.9018944725480675	1.664255172739296	17.445948945718207	3.8548317004659682	5.514308272073397	2.0923016091611064	6.074368752226478	2.7940712192833064	10.112453781330599
2_1	16.991968432281723	8.977184844676442	5.275196372852423	3.4943957964718497	2.3805919778987294	1.8107932267156155	1.4129648701655668	1.195219009672549	0.9651087383481352	10.88353764673822	2.8016774150007744	4.6516650502561365	2.0609172945394802	6.143797502108222	3.1441475531554013	27.810834269118633
2_2	18.417842279751888	8.879458282350942	5.424876332257402	3.538762451176989	2.52406724461494	1.9281826133292619	1.545143292428686	1.2347308385504003	1.016428394814017	9.960865724845542	2.1365308960378937	3.9123355408446345	1.9664402048476342	6.05009554472977	2.5315463936213076	28.932693965798723
30	9.052206635469533	8.21822252384567	8.114649790736546	6.976222477802017	5.359013900918136	4.0541808655391725	3.0170909350939223	2.4995168697047343	1.9587949131727775	19.887421080646032	4.335565910284492	5.890628694267606	2.019031393370069	5.281232579160316	2.356098993509035	10.98012243647997
31	4.723802049294643	3.467151126037946	4.28334504349597	4.360159422474236	4.256835966255222	3.510779871051332	2.9074022184301698	2.237591437626157	1.799648610605948	14.890112834010043	3.0255174817256854	4.759203631489235	1.8962254442671993	5.28675349053485	2.4809375156585554	36.11453385704286
32	8.926433923072501	5.860623347135581	3.572043292993117	2.2697303858636757	1.4902514240008102	1.0790102257109224	0.8167357547014852	0.6703833699165165	0.5614586466987316	5.654952284166963	1.3945665792865851	2.7680189332760037	1.29917846600063	4.886575028273402	4.846356160822423	53.90368217808062
33	4.702835857505599	3.311845375040217	4.086654649184579	4.374297858534346	4.204589024013788	3.7635408033719195	3.112209403119123	2.443964168931166	1.973968251508109	16.365815906070388	3.4067646356893397	5.382915843492235	2.2875636419176426	6.986125275495326	3.9883191943798946	29.608590111746143
5_1	18.63508691144707	11.83456516049676	7.591620872679211	4.857787488175106	3.239827903228603	2.268129211662268	1.6605613914643305	1.292668761245046	1.07614928441286	10.25400724749999	2.409807685388267	4.430818111732253	2.211121240008645	6.854205908272	3.0944249859108575	18.28921783637657
5_2	20.14979754870382	11.623109899054073	7.506805411356876	4.973384413329336	3.3947949743791663	2.2179876965864724	1.7405047767325856	1.3292156783242945	1.0703732915334019	9.08014107346615	1.9337413969225954	3.766718608073749	2.3744474473642927	7.304169080415039	2.437633728417214	19.09717497534082
