Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Optical	Duplicate Pairs Nonoptical	Duplicate Unpaired
17	50924824.0	6729.0	4643810.0	62458944.0	17348.0
2	59284526.0	10465.0	4785264.0	77918748.0	34541.0
20	70371386.0	16381.0	5856816.0	71155994.0	59236.0
26	0.0	38279103.0	0.0	0.0	130770831.0
27	0.0	34819736.0	0.0	0.0	165741953.0
28	0.0	51476552.0	0.0	0.0	134836607.0
29	0.0	38942316.0	0.0	0.0	132056744.0
30	0.0	38474422.0	0.0	0.0	183225452.0
31	0.0	21880631.0	0.0	0.0	221387013.0
32	0.0	24112823.0	0.0	0.0	167676789.0
33	0.0	18902322.0	0.0	0.0	195416552.0
5	47875318.0	10972.0	3918590.0	60758922.0	24618.0
