Sample	CDS_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
17	40086101.0	11270948.0	203811.0	178414.0	416349.0	310750.0	546025.0	233461.0	4294514.0
2	47466947.0	13026436.0	195569.0	190535.0	406349.0	380776.0	676518.0	269814.0	4230457.0
20	66037745.0	10191151.0	218868.0	183261.0	419198.0	302423.0	504398.0	230442.0	3900691.0
26	17325757.0	21299880.0	187881.0	250071.0	195081.0	341753.0	706430.0	358213.0	2869050.0
27	16925150.0	19015103.0	166902.0	205432.0	152933.0	315342.0	641854.0	309145.0	2165212.0
28	21649942.0	30270230.0	253059.0	338015.0	257561.0	472825.0	989291.0	496113.0	3355438.0
29	19044600.0	21191672.0	193538.0	243828.0	184409.0	354003.0	715041.0	344065.0	2412837.0
30	19231492.0	20511657.0	229880.0	246472.0	173303.0	366183.0	721654.0	344402.0	2437950.0
31	13415444.0	9895164.0	166299.0	154744.0	104705.0	196350.0	352558.0	163131.0	1493944.0
32	13319853.0	12011911.0	146903.0	145438.0	105064.0	216240.0	414598.0	196304.0	1526643.0
33	12023534.0	8203262.0	156112.0	133509.0	92654.0	162480.0	287534.0	134895.0	1387802.0
5	33013853.0	14352542.0	154735.0	163337.0	377323.0	299391.0	547473.0	240684.0	4058710.0
