	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
17	13606349	1746717	613712	205405	121375	64731	45601	29288	22137	15633	12671	9706	7982	6262	5289	4353	3805	3222	2835	2361	2097	1742	1710	1410	1305	1146	1093	927	901	839	702	658	570	548	571	463	458	440	407	333	336	275	294	286	266	240	240	204	191	192	196	174	182	151	153	154	156	128	107	123	98	112	90	100	90	104	86	78	91	71	76	52	68	60	63	54	54	52	54	51	51	55	59	44	45	49	39	38	39	34	27	33	37	28	38	31	30	27	20	32	32	27	25	18	25	27	16	25	19	17	26	14	22	14	18	21	13	17	18	19	17	16	19	21	23	14	10	9	8	13	12	13	13	14	9	7	12	11	7	13	10	11	11	13	9	12	7	10	10	13	7	9	11	9	8	11	10	7	3	10	8	7	3	14	6	8	10	4	2	5	6	5	7	6	6	7	7	4	4	7	13	9	7	6	4	3	7	2	4	3	2	5	2	5	3	4	7	6	6	7
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
2	17000033	1557931	546041	195930	117269	64410	45911	29502	23147	16348	13457	9866	8534	6630	5646	4741	4101	3351	3001	2563	2376	2085	1848	1547	1436	1258	1222	971	994	935	842	764	693	640	559	541	499	500	461	433	353	356	347	324	303	285	254	254	229	218	201	216	203	175	183	183	149	151	149	141	131	139	115	106	119	99	110	95	94	81	101	71	88	87	67	69	90	70	56	64	70	56	49	56	68	52	51	61	50	50	42	39	46	47	35	39	34	44	36	30	37	39	38	34	32	36	17	21	38	27	29	25	28	22	26	22	20	23	23	20	18	19	26	26	18	24	24	24	18	14	9	18	19	19	17	18	18	19	15	18	15	17	14	8	8	15	10	14	16	8	9	8	7	12	9	7	7	12	9	5	10	8	11	8	6	6	10	13	5	3	11	7	11	9	8	5	8	6	3	5	7	3	6	6	9	7	8	9	12	8	6	10	6	11	6	3	2	5	4	4
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
20	14186210	1977964	785171	305958	193691	111065	81261	54607	42844	31098	25554	19603	16518	13249	11650	9545	8440	7087	6332	5502	4919	4373	3862	3486	3069	2876	2520	2436	2211	2028	1834	1687	1639	1516	1417	1275	1277	1103	1059	953	946	891	846	760	724	738	651	613	572	610	551	541	500	460	437	411	425	378	370	350	352	319	345	315	297	261	294	269	260	248	247	231	225	246	198	225	173	190	176	192	178	176	167	164	181	142	134	141	127	132	129	115	118	113	130	115	111	102	104	107	100	93	77	96	87	112	70	93	73	70	83	78	79	76	75	81	72	73	62	71	65	58	60	54	70	68	42	68	58	67	52	57	48	47	50	49	45	57	39	36	47	44	33	45	45	52	54	42	36	29	48	30	36	36	30	28	32	54	30	38	36	33	30	23	26	28	38	35	23	25	25	34	25	30	22	27	21	18	27	22	32	16	24	18	28	27	23	12	20	17	13	20	28	17	23	15	22	31	16	17
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
26	16512434	3020260	1012405	308568	179630	96569	68347	44451	34674	24476	20051	15006	12580	9976	8686	6917	5960	5026	4504	3890	3448	3039	2698	2329	2127	1878	1683	1481	1368	1295	1241	1019	1010	882	842	813	709	695	624	584	506	522	477	445	422	442	363	379	345	303	267	303	276	249	282	278	225	212	225	205	168	178	194	163	176	153	137	142	133	139	105	123	125	105	96	101	98	86	97	88	73	88	70	84	78	63	69	81	69	75	66	66	72	48	49	58	50	44	52	46	47	47	40	43	38	33	37	37	45	40	40	43	42	35	37	31	30	22	28	30	26	29	25	26	27	32	29	21	16	36	21	29	21	14	17	18	22	20	19	10	17	22	19	18	10	13	18	14	17	18	20	14	18	14	12	12	12	17	13	14	13	13	12	13	11	11	12	9	5	18	14	10	15	9	5	10	9	4	13	12	11	9	14	8	8	8	12	11	6	8	12	6	6	11	4	6	7	4	7	10
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
27	20577743	1431077	459630	160831	96919	52365	37401	24396	18469	13255	10837	8066	6650	5322	4561	3709	3332	2665	2343	2026	1844	1496	1416	1218	1119	1028	909	790	743	671	631	611	513	518	527	445	417	345	366	348	310	293	228	282	227	236	215	201	185	172	163	160	141	151	162	126	140	143	108	103	104	86	100	87	97	89	70	70	84	65	62	63	64	60	56	49	64	55	41	44	45	56	39	49	41	43	39	37	41	25	32	33	30	34	36	29	26	28	27	29	27	21	26	29	18	12	18	20	22	23	17	22	21	18	19	18	21	21	15	15	13	12	16	15	17	16	12	17	15	11	10	12	12	19	11	6	11	12	9	13	9	9	13	6	9	13	6	10	10	10	10	8	10	7	12	9	11	6	10	11	7	9	8	7	11	10	9	9	9	9	4	9	6	5	6	9	5	10	6	6	5	2	10	11	2	5	8	6	7	3	9	6	2	7	3	4	7	4	5	5
