Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
17	47786440.0	11251426.0	95805.0	2636389.0	687210.0
2	55995202.0	15044073.0	41902.0	2686520.0	266432.0
20	64898458.0	8869257.0	52398.0	3274571.0	543175.0
26	136228186.0	32821748.0	102692.0	14651226.0	276091.0
27	92951915.0	107609774.0	1490636.0	14090239.0	1785780.0
28	164415076.0	21898083.0	85253.0	18973037.0	226114.0
29	147376836.0	23622224.0	75393.0	26157862.0	197418.0
30	185544061.0	36155813.0	161951.0	13454807.0	306327.0
31	164299932.0	78967712.0	132391.0	10527639.0	406865.0
32	67669565.0	124120047.0	1986907.0	13899404.0	2351561.0
33	146966130.0	67352744.0	235403.0	13805939.0	412118.0
5	45159396.0	11152609.0	60908.0	2787305.0	477483.0
