Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
17_1	3.4	62742417	25370134	62742417	3167697371	4443150	3120073593	1.5034194376013201
17_2	3.4	62742417	23009865	62742417	3168238541	11325593	3124622103	1.3766778427685316
20_1	3.4	79160416	32355182	79160416	3996752869	3092131	3890516808	2.658059291681464
20_2	3.4	79160416	29969622	79160416	3996676925	45255230	3909004503	2.193632951705247
26	3.4	184368635	56009128	184368635	18621232135	63478833	18475911267	0.7804041480523651
27	3.4	218293032	59780204	218293032	22047596232	104465940	21855104865	0.8730718985166147
28	3.4	205923935	65479904	205923935	20798317435	63518648	20638400991	0.7688912552651401
29	3.4	197746790	62093757	197746790	19972425790	63807990	19815879766	0.7838107681360421
2_1	3.4	74326929	29554035	74326929	3751704499	3243387	3702657333	1.307330201860869
2_2	3.4	74326929	25828117	74326929	3751629870	14493368	3701095568	1.3469959391276518
30	3.4	236154939	70924432	236154939	23851648839	82887790	23644834715	0.8670852291848132
31	3.4	254924708	71478746	254924708	25747395508	95221817	25528922303	0.84852545544701
32	3.4	210316914	54387741	210316914	21242008314	100056122	21062891953	0.8432176390871173
33	3.4	229116234	61476647	229116234	23140739634	88799253	22959139143	0.7847652835312999
5_1	3.4	60163695	24790415	60163695	3037811247	3368221	2981507329	1.8534370117828456
5_2	3.4	60163695	21869385	60163695	3038296532	17848893	2989885324	1.59336679254716
