Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
17		0.568566	1.2	59013789.0	20.458540477352486	0.002317351	109517873.0	118051655.0	100.0	99.97960469084487	12.239857204882048	118051655.0	227569528	227569528	100.0	76.51	47786440.0													
17.0	0.418903429630397																													
17_1																		71.43851905907047	52.0	50.48733412676786	51	36.36363636363637	62742417.0	1.5034194376013201	70.90367618443359	53.0	49.86465971055091	50	36.36363636363637	62457270.0
17_2																		69.9877653495601	55.0	50.49595939219237	51	36.36363636363637	62742417.0	1.3766778427685316	69.46393762383026	55.0	49.90424933718685	50	36.36363636363637	62457270.0
2		0.582528	1.16	70994269.0	21.40076009113662	0.001922237	113733680.0	142033544.0	100.0	99.96831311904742	9.653785728250222	142033544.0	255767224	255767224	100.0	75.63	55995202.0													
2.0	0.271782343035441																													
20		0.522665	1.17	73692098.0	30.97332081728738	0.002233709	64668949.0	147459813.0	100.0	99.9487202659073	5.202787691043661	147459813.0	212128762	212128762	100.0	83.59	64898458.0													
20.0	0.403411094020449																													
20_1																		73.32546480562652	53.0	50.489285819316564	51	36.36363636363637	79160416.0	2.658059291681464	72.28292071057484	53.0	49.88613239579417	50	27.27272727272727	77637859.0
20_2																		71.14604150185167	56.0	50.48832645093729	51	18.181818181818183	79160416.0	2.193632951705247	70.81380531487022	56.0	49.81557094458259	50	18.181818181818183	77637859.0
26		0.773563	1.54	169049934.0	0.0	0.002332699	147324595.0	169049934.0	100.0	0.0	11.33712539633408	169049934.0	316374529	316374529	100.0	74.0	136228186.0	73.78494558916796	52.0	101.0	101	18.181818181818183	184368635.0	0.7804041480523651	73.79509796334202	52.0	99.60049331392938	100	27.27272727272727	184079943.0
26.0	0.445597473616648																													
27		0.826389	1.58	200561689.0	0.0	0.00194806	664037362.0	200561689.0	100.0	0.0	45.366345114893804	200561689.0	864599051	864599051	100.0	42.65	92951915.0	80.67339146152123	56.0	101.0	101	18.181818181818183	218293032.0	0.8730718985166147	80.68474265431243	57.0	99.49713653585144	100	9.090909090909092	217928344.0
27.0	0.161295016690685																													
28		0.72371	1.56	186313159.0	0.0	0.002305132	73888089.0	186313159.0	100.0	0.0	4.317228607561745	186313159.0	260201248	260201248	100.0	79.97	164415076.0	69.82120438330685	50.0	101.0	101	18.181818181818183	205923935.0	0.7688912552651401	69.81781610755813	50.0	99.62426335763523	100	27.27272727272727	205597563.0
28.0	0.243041223763705																													
29		0.772266	1.48	170999060.0	0.0	0.00237941	92003845.0	170999060.0	100.0	0.0	6.483857279683292	170999060.0	263002905	263002905	100.0	74.65	147376836.0	74.46095093229533	51.0	101.0	101	9.090909090909092	197746790.0	0.7838107681360421	74.46438602061932	51.0	99.60778585462606	100	18.181818181818183	197429733.0
29.0	0.38975873033751																													
2_1																		73.9724071431649	53.0	50.47570980633412	51	36.36363636363637	74326929.0	1.307330201860869	73.54189707765892	53.0	49.88462057816605	50	36.36363636363637	74034129.0
2_2																		72.50556965685315	55.0	50.474705742248545	51	36.36363636363637	74326929.0	1.3469959391276518	72.25359183933209	55.0	49.903623638227714	50	36.36363636363637	74034129.0
30		0.826457	1.52	221699874.0	0.0	0.002341375	146763239.0	221699874.0	100.0	0.0	8.029430815102764	221699874.0	368463113	368463113	100.0	78.75	185544061.0	78.45543811984567	53.0	101.0	101	18.181818181818183	236154939.0	0.8670852291848132	78.45329886644768	53.0	99.57750148617733	100	18.181818181818183	235622959.0
30.0	0.591598542213688																													
31		0.910055	1.6	243267644.0	0.0	0.001985347	259475831.0	243267644.0	100.0	0.0	11.477408397147958	243267644.0	502743475	502743475	100.0	64.6	164299932.0	87.74900481711582	57.0	101.0	101	27.27272727272727	254924708.0	0.84852545544701	87.78033991662502	57.0	99.58317138357681	100	27.27272727272727	254334539.0
31.0	0.908704871767572																													
32		0.874275	1.53	191789612.0	0.0	0.001860468	806705700.0	191789612.0	100.0	0.0	57.00568704419716	191789612.0	998495312	998495312	100.0	32.22	67669565.0	85.28598242711132	59.0	101.0	101	9.090909090909092	210316914.0	0.8432176390871173	85.26968844225314	59.0	99.48840926933163	100	9.090909090909092	210027484.0
32.0	0.203461473558669																													
33		0.911803	1.76	214318874.0	0.0	0.002150255	286286138.0	214318874.0	100.0	0.0	16.453225673442088	214318874.0	500605012	500605012	100.0	64.24	146966130.0	87.71119843922872	58.0	101.0	101	27.27272727272727	229116234.0	0.7847652835312999	87.71129860166475	58.0	99.562111483288	100	27.27272727272727	228772334.0
33.0	1.00761506602722																													
5		0.574678	1.17	56276415.0	20.82143415005758	0.002225634	97575864.0	112588420.0	100.0	99.96838928905832	11.134023374695195	112588420.0	210164284	210164284	100.0	75.72	45159396.0													
5.0	0.395105274677757																													
5_1																		69.51157770316979	51.0	50.492431473831516	51	27.27272727272727	60163695.0	1.8534370117828456	68.84894824521359	52.0	49.875422494908044	50	27.27272727272727	59637701.0
5_2																		68.12233426190608	54.0	50.50049755089012	51	36.36363636363637	60163695.0	1.59336679254716	67.72057614862658	54.0	49.895530982993456	50	36.36363636363637	59637701.0
