Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
17	Unknown Library	24077.0	59013789.0	109517873.0	0.0	17348.0	33551377.0	2321905.0	0.568566	29992531.0
2	Unknown Library	45006.0	70994269.0	113733680.0	0.0	34541.0	41352006.0	2392632.0	0.582528	34273144.0
20	Unknown Library	75617.0	73692098.0	64668949.0	0.0	59236.0	38506405.0	2928408.0	0.522665	43991658.0
26	Unknown Library	169049934.0	0.0	147324595.0	0.0	130770831.0	0.0	0.0	0.773563	
27	Unknown Library	200561689.0	0.0	664037362.0	0.0	165741953.0	0.0	0.0	0.826389	
28	Unknown Library	186313159.0	0.0	73888089.0	0.0	134836607.0	0.0	0.0	0.72371	
29	Unknown Library	170999060.0	0.0	92003845.0	0.0	132056744.0	0.0	0.0	0.772266	
30	Unknown Library	221699874.0	0.0	146763239.0	0.0	183225452.0	0.0	0.0	0.826457	
31	Unknown Library	243267644.0	0.0	259475831.0	0.0	221387013.0	0.0	0.0	0.910055	
32	Unknown Library	191789612.0	0.0	806705700.0	0.0	167676789.0	0.0	0.0	0.874275	
33	Unknown Library	214318874.0	0.0	286286138.0	0.0	195416552.0	0.0	0.0	0.911803	
5	Unknown Library	35590.0	56276415.0	97575864.0	0.0	24618.0	32338756.0	1959295.0	0.574678	27933895.0
