Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
17	227569528	0	67120102	109517873	0	4368070	46563483	23284691	23278792	23281630	23281853	40587004	5976479	46557404	0	20.461211748877027	20.458540477352486
2	255767224	0	82738553	113733680	0	4549434	54745557	27377395	27368162	27372731	27372826	47863339	6882218	54736130	0	21.404445864416154	21.40076009113662
20	212128762	0	77072046	64668949	0	4669834	65717933	32866157	32851776	32858862	32859071	55063894	10654039	65703322	0	30.980208614992062	30.97332081728738
26	316374529	0	130770831	147324595	0	1236507	37042596	0	0	18828062	18214534	33199064	3843532	0	0	11.708463420580864	0.0
27	864599051	0	165741953	664037362	0	1092286	33727450	0	0	17136816	16590634	29954976	3772474	0	0	3.9009353481235776	0.0
28	260201248	0	134836607	73888089	0	1601419	49875133	0	0	25142008	24733125	45159591	4715542	0	0	19.167906911806973	0.0
29	263002905	0	132056744	92003845	0	1252445	37689871	0	0	19060919	18628952	33447599	4242272	0	0	14.330591139287987	0.0
30	368463113	0	183225452	146763239	0	1239220	37235202	0	0	18993993	18241209	32956831	4278371	0	0	10.105543997832967	0.0
31	502743475	0	221387013	259475831	0	773387	21107244	0	0	10732306	10374938	17970896	3136348	0	0	4.198412321512477	0.0
32	998495312	0	167676789	806705700	0	801090	23311733	0	0	11821770	11489963	20269186	3042547	0	0	2.3346862744208856	0.0
33	500605012	0	195416552	286286138	0	702206	18200116	0	0	9198442	9001674	15338734	2861382	0	0	3.635624007695712	0.0
5	210164284	0	64702130	97575864	0	4117034	43769256	21889532	21879724	21884558	21884698	38995783	4773473	43759218	0	20.826210413563896	20.82143415005758
