Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
17	6012940	5893561	55398	59173	182062	148173	21322	12567	98.0146317774666	0.9213130348880914	0.9840943032859133	81.3860113587679	11.711395019279147	6.9025936219529616
2	6920875	6794406	65106	54665	191538	153022	24767	13749	98.17264435494066	0.9407192009680857	0.7898567738905846	79.89119652497155	12.930593407052388	7.178210067976068
20	10721690	10518810	114577	82575	207432	157765	33035	16632	98.10776099663393	1.0686468271326628	0.7701677627314351	76.05624975895715	15.925700952601336	8.018049288441514
26	4151761	3975092	86045	84866	248968	161401	40097	47470	95.7447213363197	2.072494057340969	2.044096468944142	64.82801002538478	16.105282606600042	19.066707368015166
27	4076574	3916443	82593	72633	240516	160198	39076	41242	96.07192215816517	2.0260395125907196	1.7817167062342054	66.6059638444012	16.246736183871345	17.147299971727453
28	5092103	4845353	126028	114186	280785	169055	53350	58380	95.15426141222989	2.4749695754386742	2.2424133997289526	60.2079883184643	19.00030272272379	20.791708958811903
29	4581672	4377810	103111	95305	259822	163544	45484	50794	95.55048899179164	2.2505102940585884	2.0801358106822136	62.94463132452217	17.505830915011046	19.54953776046678
30	4620049	4403688	105516	104766	263766	161714	46377	55675	95.31691114098574	2.283871881012517	2.267638286953234	61.30964567078395	17.582630058460907	21.10772427075514
31	3389863	3247072	72865	65994	222373	151461	34484	36428	95.78770587483919	2.1494968970722415	1.9468043398804022	68.1112365260171	15.507278311665534	16.381485162317368
32	3287117	3165009	65327	53810	211387	149516	32050	29821	96.28525543812405	1.98736461160342	1.636996796889189	70.73093425801964	15.161764914587936	14.107300827392413
33	3093425	2963385	67150	59816	212285	147500	31939	32846	95.79624526212854	2.1707330871121813	1.933649595513064	69.48206420613798	15.045339991049769	15.472595802812258
5	4801684	4705665	45745	46473	177107	145550	19814	11743	98.00030572607443	0.9526865991181428	0.9678479466787069	82.18195779952232	11.187587164821267	6.630455035656412
