Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
17	50931553	57540373	53245859	89244963	40086101	449.17	0	0	0.0	0	0	0.0	1305291099	11270948	8.63	22119018	203811	9.21	3.84	4.39	23731890	310750	13.09	8.41	6.04	4294514	69.66604300601249	0.0	0.0	19.58789526790172	0.3542052117041368	0.6642727185657973	1.3878498841152802	0.5400555884474367	1.4889979945037894	1.894732243046113	7.463479598924394	82399615	77480840	416349	178414	78695974	78163896	233461	546025
2	59294991	66843401	62612944	89244963	47466947	531.87	0	0	0.0	0	0	0.0	1305291099	13026436	9.98	22119018	195569	8.84	3.88	4.35	23731890	380776	16.04	10.38	7.35	4230457	71.01216618226832	0.0	0.0	19.487991043424017	0.2925778716735254	0.5776247082341008	1.1855366246250696	0.569653839127665	1.5817477629541918	1.9853986783227862	6.328907471359813	82399615	77480840	406349	190535	78695974	78163896	269814	676518
20	70387767	81988177	78087486	89244963	66037745	739.96	0	0	0.0	0	0	0.0	1305291099	10191151	7.81	22119018	218868	9.9	4.04	4.51	23731890	302423	12.74	7.92	5.74	3900691	80.54544864438198	0.0	0.0	12.430025124232241	0.26695068485301243	0.49047193719162707	1.001762729765293	0.368861720147772	0.9840699348639012	1.265137289245985	4.757626212374499	82399615	77480840	419198	183261	78695974	78163896	230442	504398
26	38279103	43534116	40665066	89244963	17325757	194.14	0	0	0.0	0	0	0.0	1305291099	21299880	16.32	22119018	187881	8.49	4.4	3.48	23731890	341753	14.4	10.29	7.79	2869050	39.798113736821946	0.0	0.0	48.92686921677702	0.4315718734245115	1.005997227553673	1.4541078541711976	0.7850234055516369	2.40772776918222	3.2305606021723285	6.590348590057508	82399615	77480840	195081	250071	78695974	78163896	358213	706430
27	34819736	39897073	37731861	89244963	16925150	189.65	0	0	0.0	0	0	0.0	1305291099	19015103	14.57	22119018	166902	7.55	3.74	2.89	23731890	315342	13.29	9.39	7.01	2165212	42.42203431815662	0.0	0.0	47.66039603957915	0.41833144000313005	0.9332363805234535	1.316555226996226	0.7903888087228855	2.3991634674553697	3.1740198084205327	5.426994606847475	82399615	77480840	152933	205432	78695974	78163896	309145	641854
28	51476552	58082474	54727036	89244963	21649942	242.59	0	0	0.0	0	0	0.0	1305291099	30270230	23.19	22119018	253059	11.44	5.93	4.66	23731890	472825	19.92	14.35	10.84	3355438	37.274483177145655	0.0	0.0	52.11594464795009	0.43568908583336174	1.0176460458623027	1.4610861789392786	0.8140579549004748	2.517310126975652	3.3714627927178173	5.777023203247162	82399615	77480840	257561	338015	78695974	78163896	496113	989291
29	38942316	44683993	42271156	89244963	19044600	213.4	0	0	0.0	0	0	0.0	1305291099	21191672	16.24	22119018	193538	8.75	4.39	3.42	23731890	354003	14.92	10.49	7.82	2412837	42.620631508916404	0.0	0.0	47.42564524168644	0.43312601897507236	0.9787979333001864	1.3914938174840372	0.7922367188626137	2.3924540494847895	3.1624501418214797	5.399779290091644	82399615	77480840	184409	243828	78695974	78163896	344065	715041
30	38474422	44262993	41825043	89244963	19231492	215.49	0	0	0.0	0	0	0.0	1305291099	20511657	15.71	22119018	229880	10.39	4.78	3.57	23731890	366183	15.43	10.68	7.93	2437950	43.4482412881569	0.0	0.0	46.34042031455035	0.5193503295179339	1.076185697609739	1.467715931455426	0.8272892888196693	2.4576670628667157	3.235748201663634	5.507874264173686	82399615	77480840	173303	246472	78695974	78163896	344402	721654
31	21880631	25942339	24448395	89244963	13415444	150.32	0	0	0.0	0	0	0.0	1305291099	9895164	7.58	22119018	166299	7.52	3.22	2.34	23731890	196350	8.27	5.39	3.94	1493944	51.712546042976314	0.0	0.0	38.142913790464306	0.6410331774632966	1.2375252670933026	1.6411318963953097	0.7568708434501608	2.1158770610468087	2.744698540867884	5.75870972929619	82399615	77480840	104705	154744	78695974	78163896	163131	352558
32	24112823	28082954	26556311	89244963	13319853	149.25	0	0	0.0	0	0	0.0	1305291099	12011911	9.2	22119018	146903	6.64	2.94	2.18	23731890	216240	9.11	6.19	4.58	1526643	47.4303842822233	0.0	0.0	42.772961135071476	0.5231038016869592	1.040990915699253	1.415111102628306	0.7700044660543901	2.2463377606216213	2.945352543753054	5.436190936323864	82399615	77480840	105064	145438	78695974	78163896	196304	414598
