Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
17	118051655.0	0.0	118051655.0	1.0	59037394.0	59014261.0	118051655.0	118027578.0	0.0	118027578.0	118051655.0	67120102.0	14449354.0	0.0	109517873.0	0.0	5891617746.0	2944661885.0	2946955861.0	5891617746.0	5872874289.0	0.0	3350407478.0	13609510.0	0.002317351	49.0	50.0	50.0	51.0	51.0	51.0	36.3	1532.0	2453.0	59010309.0	3480.0	0.0	0.0	100.0	100.0	99.97960469084487	0.0	99.97960469084487	100.0	56.856553175811044	12.239857204882048	0.0
2	142033544.0	0.0	142033544.0	1.0	71038671.0	70994873.0	142033544.0	141988538.0	0.0	141988538.0	142033544.0	82738553.0	13711614.0	0.0	113733680.0	0.0	7090590437.0	3544032971.0	3546557466.0	7090590437.0	7071881689.0	0.0	4132397190.0	13593831.0	0.001922237	49.0	50.0	50.0	51.0	51.0	51.0	36.4	1222.9	2231.3	70991212.0	3057.0	0.0	0.0	100.0	100.0	99.96831311904742	0.0	99.96831311904742	100.0	58.252825825426136	9.653785728250222	0.0
20	147459813.0	0.0	147459813.0	1.0	73767019.0	73692794.0	147459813.0	147384196.0	0.0	147384196.0	147459813.0	77072046.0	7672021.0	0.0	64668949.0	0.0	7357047021.0	3680271269.0	3676775752.0	7357047021.0	7333186667.0	0.0	3845898826.0	16380207.0	0.002233709	49.0	50.0	50.0	51.0	51.0	51.0	36.4	1813.0	2548.8	73687358.0	4740.0	0.0	0.0	99.9	100.0	99.9487202659073	0.0	99.9487202659073	100.0	52.266474798798235	5.202787691043661	0.0
26	169049934.0	0.0	169049934.0	1.0	169049934.0	0.0	169049934.0	0.0	0.0	0.0	0.0	130770831.0	19165403.0	0.0	147324595.0	0.0	16974246458.0	16974246458.0	0.0	16974246458.0	16952418749.0	0.0	13132613441.0	39544879.0	0.002332699	100.0	100.0	0.0	101.0	101.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	77.35633366174517	11.33712539633408	0.0
27	200561689.0	0.0	200561689.0	1.0	200561689.0	0.0	200561689.0	0.0	0.0	0.0	0.0	165741953.0	90987508.0	0.0	664037362.0	0.0	20147390949.0	20147390949.0	0.0	20147390949.0	20126564309.0	0.0	16653904630.0	39207751.0	0.00194806	100.0	100.0	0.0	101.0	101.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	82.6388897233509	45.366345114893804	0.0
28	186313159.0	0.0	186313159.0	1.0	186313159.0	0.0	186313159.0	0.0	0.0	0.0	0.0	134836607.0	8043565.0	0.0	73888089.0	0.0	18706466611.0	18706466611.0	0.0	18706466611.0	18682733571.0	0.0	13539526755.0	43066166.0	0.002305132	100.0	100.0	0.0	101.0	101.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	72.37095207000381	4.317228607561745	0.0
29	170999060.0	0.0	170999060.0	1.0	170999060.0	0.0	170999060.0	0.0	0.0	0.0	0.0	132056744.0	11087335.0	0.0	92003845.0	0.0	17167404924.0	17167404924.0	0.0	17167404924.0	17144033161.0	0.0	13259356982.0	40792688.0	0.00237941	100.0	100.0	0.0	101.0	101.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	77.22659060231092	6.483857279683292	0.0
30	221699874.0	0.0	221699874.0	1.0	221699874.0	0.0	221699874.0	0.0	0.0	0.0	0.0	183225452.0	17801238.0	0.0	146763239.0	0.0	22258925457.0	22258925457.0	0.0	22258925457.0	22230129705.0	0.0	18399058002.0	52049059.0	0.002341375	100.0	100.0	0.0	101.0	101.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	82.6457176967092	8.029430815102764	0.0
31	243267644.0	0.0	243267644.0	1.0	243267644.0	0.0	243267644.0	0.0	0.0	0.0	0.0	221387013.0	27920821.0	0.0	259475831.0	0.0	24433634623.0	24433634623.0	0.0	24433634623.0	24405010469.0	0.0	22240478843.0	48452425.0	0.001985347	100.0	100.0	0.0	101.0	101.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	91.00553175086449	11.477408397147958	0.0
32	191789612.0	0.0	191789612.0	1.0	191789612.0	0.0	191789612.0	0.0	0.0	0.0	0.0	167676789.0	109330986.0	0.0	806705700.0	0.0	19274066461.0	19274066461.0	0.0	19274066461.0	19254788284.0	0.0	16855334678.0	35822914.0	0.001860468	100.0	100.0	0.0	101.0	101.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	87.42746139973421	57.00568704419716	0.0
