Module	Section	Sample Name	Source
Picard	DuplicationMetrics	32	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/32.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	20	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/20.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	2	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	17	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/17.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	33	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/33.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	26	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/26.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	27	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/27.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	30	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/30.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	29	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/29.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	31	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/31.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	5	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/5.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	28	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/picard/markduplicates/28.markdup.sorted.MarkDuplicates.metrics.txt
QualiMap	rna_genome_results	31	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/31/rnaseq_qc_results.txt
QualiMap	rna_genome_results	26	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/26/rnaseq_qc_results.txt
QualiMap	rna_genome_results	2	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	17	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/17/rnaseq_qc_results.txt
QualiMap	rna_genome_results	28	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/28/rnaseq_qc_results.txt
QualiMap	rna_genome_results	32	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/32/rnaseq_qc_results.txt
QualiMap	rna_genome_results	27	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/27/rnaseq_qc_results.txt
QualiMap	rna_genome_results	33	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/33/rnaseq_qc_results.txt
QualiMap	rna_genome_results	29	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/29/rnaseq_qc_results.txt
QualiMap	rna_genome_results	30	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/30/rnaseq_qc_results.txt
QualiMap	rna_genome_results	20	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/20/rnaseq_qc_results.txt
QualiMap	rna_genome_results	5	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/5/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	31	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/31/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	26	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/26/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	2	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	17	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/17/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	28	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/28/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	32	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/32/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	27	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/27/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	33	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/33/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	29	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/29/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	30	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/30/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	20	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/20/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	5	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/qualimap/5/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
RSeQC	read_distribution	27	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/27.read_distribution.txt
RSeQC	read_distribution	30	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/30.read_distribution.txt
RSeQC	read_distribution	32	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/32.read_distribution.txt
RSeQC	read_distribution	17	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/17.read_distribution.txt
RSeQC	read_distribution	31	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/31.read_distribution.txt
RSeQC	read_distribution	2	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/2.read_distribution.txt
RSeQC	read_distribution	5	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/5.read_distribution.txt
RSeQC	read_distribution	20	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/20.read_distribution.txt
RSeQC	read_distribution	33	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/33.read_distribution.txt
RSeQC	read_distribution	29	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/29.read_distribution.txt
RSeQC	read_distribution	28	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/28.read_distribution.txt
RSeQC	read_distribution	26	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_distribution/26.read_distribution.txt
RSeQC	inner_distance	17	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/inner_distance/17.inner_distance_freq.txt
RSeQC	inner_distance	2	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/inner_distance/2.inner_distance_freq.txt
RSeQC	inner_distance	20	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/inner_distance/20.inner_distance_freq.txt
RSeQC	inner_distance	5	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/inner_distance/5.inner_distance_freq.txt
RSeQC	read_duplication	31	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/31.pos.DupRate.xls
RSeQC	read_duplication	26	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/26.pos.DupRate.xls
RSeQC	read_duplication	29	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/29.pos.DupRate.xls
RSeQC	read_duplication	30	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/30.pos.DupRate.xls
RSeQC	read_duplication	17	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/17.pos.DupRate.xls
RSeQC	read_duplication	2	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/2.pos.DupRate.xls
RSeQC	read_duplication	20	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/20.pos.DupRate.xls
RSeQC	read_duplication	27	/storage/Nuevo_Analisis_Bosque/Fastq/work/52/fec137d4209932c0b7ec07bb6d1360/rseqc/read_duplication/27.pos.DupRate.xls
