Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
17	62457270.0	99.0	47786440.0	76.51	99.47	11089049.0	11069081.0	10935371.0	127891.0	11701.0	14086.0	0.2	0.01	1.4	0.0	1.3	11251426.0	18.01	95805.0	0.15	0.0	4.22	1.1	0	2636389	687210
2	74034129.0	99.0	55995202.0	75.63	99.51	11331785.0	11318168.0	11071232.0	240754.0	12589.0	7210.0	0.17	0.01	1.38	0.0	1.3	15044073.0	20.32	41902.0	0.06	0.0	3.63	0.36	0	2686520	266432
20	77637859.0	99.0	64898458.0	83.59	99.42	20537567.0	20515120.0	20302163.0	202183.0	18677.0	14544.0	0.2	0.01	1.39	0.0	1.28	8869257.0	11.42	52398.0	0.07	0.0	4.22	0.7	0	3274571	543175
26	184079943.0	100.0	136228186.0	74.0	100.31	26242860.0	26196087.0	25884599.0	305032.0	27509.0	25720.0	0.19	0.02	1.74	0.01	1.62	32821748.0	17.83	102692.0	0.06	0.0	7.96	0.15	0	14651226	276091
27	217928344.0	100.0	92951915.0	42.65	100.28	18748840.0	18706287.0	17814048.0	894395.0	19306.0	21091.0	0.2	0.02	1.7	0.01	1.61	107609774.0	49.38	1490636.0	0.68	0.0	6.47	0.82	0	14090239	1785780
28	205597563.0	100.0	164415076.0	79.97	100.31	33926784.0	33882760.0	32728336.0	1148212.0	33118.0	17118.0	0.18	0.02	1.67	0.01	1.62	21898083.0	10.65	85253.0	0.04	0.0	9.23	0.11	0	18973037	226114
29	197429733.0	100.0	147376836.0	74.65	100.29	32740357.0	32697986.0	31885511.0	802919.0	33187.0	18740.0	0.19	0.02	1.68	0.01	1.61	23622224.0	11.96	75393.0	0.04	0.0	13.25	0.1	0	26157862	197418
30	235622959.0	100.0	185544061.0	78.75	100.31	41284010.0	41214827.0	40750962.0	448617.0	41840.0	42591.0	0.18	0.02	1.73	0.01	1.62	36155813.0	15.34	161951.0	0.07	0.0	5.71	0.13	0	13454807	306327
31	254334539.0	100.0	164299932.0	64.6	100.34	35127359.0	35060954.0	34628541.0	421624.0	35185.0	42009.0	0.17	0.01	1.74	0.01	1.6	78967712.0	31.05	132391.0	0.05	0.0	4.14	0.16	0	10527639	406865
32	210027484.0	100.0	67669565.0	32.22	100.28	14740206.0	14701540.0	13928936.0	775730.0	14644.0	20896.0	0.21	0.01	1.72	0.01	1.61	124120047.0	59.1	1986907.0	0.95	0.0	6.62	1.12	0	13899404	2351561
33	228772334.0	100.0	146966130.0	64.24	100.36	33186688.0	33125925.0	31907347.0	1206467.0	32079.0	40795.0	0.17	0.01	1.74	0.01	1.61	67352744.0	29.44	235403.0	0.1	0.0	6.03	0.18	0	13805939	412118
5	59637701.0	99.0	45159396.0	75.72	99.46	8608010.0	8593480.0	8499999.0	91729.0	9399.0	6883.0	0.19	0.01	1.39	0.0	1.3	11152609.0	18.7	60908.0	0.1	0.0	4.67	0.8	0	2787305	477483
