Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
17	22054.409493182826	28491.951706098833	38650.82149114939	53525.552779996906	69924.95522735118	75890.41824780006	80428.6283108794	87485.22943210845	93202.06817755368	96659.76580529637	99254.89924087364	101203.21610973668	102786.68174747267	103705.340960453	101961.62772129713	98450.28253360215	95310.78322935064	94352.48087134186	93466.66000465977	85577.97427593476	71536.91777207126	66372.89463747058	62883.46840155983	61159.79925891249	55776.17574837999	53858.882202789675	52272.4051277614	51548.49485714814	50988.960495103194	49352.92105750926	48220.30325870758	46959.034949585264	45915.20922452811	45023.527938124585	44065.42320154232	44038.51745941016	42972.86856888655	42423.36372948814	41970.09066233442	41717.17899566908	41570.51149176815	41593.751527003966	41294.84528606149	41321.283290527004	41086.64394242944	40880.02484363918	40728.2986842878	41147.692392557525	41875.78230097015	41413.554073437495	40945.52222439352	41193.26657408413	42052.95447586733	41985.563015985674	42898.40977363094	41615.073638517446	41086.907316489036	41309.77535527711	41093.43292058786	47442.97400797508	50961.93527623781	51733.00465275024	52148.80514753105	53295.83208992502	54392.997226713094	55807.5246094644	56038.85551666636	56016.922377416915	56052.4244747874	56675.0136883855	60143.14929465671	57658.52778402274	50041.899962894	49742.72845077294	49901.629741211815	56274.27735684214	59689.14911655981	59647.027973156284	61172.419935670645	67019.16943736849	70768.02304129192	70354.41595913166	67966.19370283966	66224.86826424814	64906.59436423601	63194.50245174286	60459.98979315912	58450.9987140647	57640.72126766354	56731.891264366175	53522.79634247924	45556.212035298086	39425.70681684872	38246.336628242716	36293.3972634341	30341.204784183024	21688.462970179266	16618.595606320916	11208.910362514393	3572.6792715386073
2	21466.785066293265	27697.952029265107	41252.279485264415	58135.11784779603	87478.0450297767	100848.8156275959	107919.84850701116	121361.16338057698	132185.44158404652	138834.3942690475	144019.7548657078	147988.218997935	151262.45325564593	154138.21799274418	153169.9097439504	148644.58531132372	143522.62337437485	141961.86760940906	140735.42579436023	132533.2632358001	110362.67049957454	99284.571669663	92226.05311002085	88663.55672792181	78166.43565777622	74196.83041095299	71141.86785757911	68856.51613017858	68334.12439131718	65940.85425458844	64862.739126183034	61858.796334174374	60652.99778835591	59244.83804647118	58224.963429840354	58270.734876972056	57615.351385391456	58443.42438008083	58557.50281891423	58527.36537508678	58616.85569595086	59951.7161704748	60513.04751324483	61230.47569875396	61425.14678421596	61855.47709239408	62289.12673563485	64530.212048071015	67352.89087503585	66101.93980696354	65947.88384457471	67761.29949977173	70949.92986695401	70708.32209501819	69854.25272366975	69363.78006926237	67241.69009301979	67867.22675752988	65716.34903489437	82563.89399552588	85448.88304038727	86334.58056871779	87535.56402880489	90637.16288453368	92394.38263692078	92802.54275715668	92636.15136160032	91692.63439156953	90964.06309354858	91036.52338539244	95285.74786388178	85079.50907668966	70918.8734232928	70505.83991815316	69995.21955119653	75276.45508794466	77950.69721674942	77388.24478604578	79561.81159251493	87085.53612615337	90083.32630591725	89081.21142050569	86032.25053754557	83872.6470281876	80873.03192336201	77880.53865604424	73094.05638156459	69909.77805559717	68677.5272022704	67010.6616573537	62451.63419625844	53221.87920661355	46609.67781971846	45089.41024903214	42105.89357824618	33355.85080274129	23966.70583349649	18156.63067825069	11897.30757089814	3755.295031105237
20	37902.767645540305	46190.25188656313	54254.06600818254	62635.172925775	78467.63823222976	83257.04140391306	88910.7939966456	96686.11743902728	101926.04031176324	105412.73769460601	108648.78606557692	111323.9198096174	113732.82944585013	115337.66429746474	115903.19038893041	115437.43369807529	113878.56920674376	113654.16940104733	114242.20913639829	110471.41952525503	101036.55321261314	97320.39199711915	95202.88376229047	94287.0784545216	90933.94584046725	89999.86821681952	89816.83906982791	89811.96283302834	89863.67699459342	89198.27267811063	88662.98354421138	87510.63020067883	86386.40037693598	85713.91738632666	84835.8419436934	85414.30252662848	84291.54979755079	83516.73492015005	82898.82229087965	82835.84107501927	82953.21140897473	83207.670384714	83034.77818680985	83064.72884336399	82756.09607801649	82650.00879466531	82582.13201403704	83054.72087554613	83205.58207738317	82298.26963784563	81532.29439410492	81667.14566505159	82777.99220070164	82437.66410907335	82134.28297731165	81690.33952613738	80662.28147609088	80658.46908649545	80011.00684177244	83363.44898948977	84645.42597871173	84813.45555016804	84700.66045791237	85352.74943011955	86225.78464076566	86086.45545665066	85903.54126774041	85931.74383504289	85006.44822492542	84656.9680124727	86503.89707850742	84182.11097122589	79747.55264507426	79322.90768001642	79085.9246583474	82594.2915389687	84101.70824726946	84196.41155099343	85218.2810183901	88825.36129373699	90281.43573537857	90524.63486763736	88397.70508479576	86021.09712503252	84876.76187677971	83429.74463440858	81566.72201981829	79412.26045594233	78065.81029695518	77147.5758862163	73087.56439872268	66807.7592858646	62136.67419509974	60425.00351409231	57539.39555412906	50547.39978768855	40600.53235325748	31789.296460274465	21903.45165425602	7181.747349575337
26	55894.057830806094	67682.70360676154	88895.62659101485	128409.89811066282	160253.74784772226	168603.1955408348	177019.8157786677	188228.43840444696	191504.6201745413	193094.97424114507	194828.07979225952	196429.41186019377	197804.1816856339	197879.72592500984	197968.10182755266	198886.53607785667	198773.51380543996	197767.83933923408	197224.43354296384	197506.13136054843	197679.90162742906	197863.01166446798	198034.5213151123	197673.65681583056	197311.4743330053	196910.02138764883	195404.55662924552	186688.2817873475	178968.27437799057	170898.84977839873	168316.0827114473	161722.1817018496	156291.90560361536	154306.98959960113	153083.38778509462	151434.34913383325	131377.65066929616	107496.2332256125	95697.07209701506	93226.08006775702	92190.07152712588	90526.4337102719	90198.80791500572	90295.1938510706	88824.75187319465	87399.22553538534	86607.27952547789	86763.22670335097	86366.9280981751	85671.3683837936	84959.98155496722	85275.08427140072	85510.6748577458	85615.5828671071	85069.90066127123	84299.95337841239	83229.12147753758	83219.27513138879	84473.26269661057	83946.46514990387	83232.71181391912	82307.16592567519	81653.95842761587	82853.14202516428	84102.88423316693	83790.07058417847	83084.51644714366	82252.87997259462	81410.64408696178	80567.87765319659	79763.9482344101	78952.46009239345	77858.79474332991	76614.95102289795	75706.11198332245	75151.05791919939	74108.74149451645	72620.61654701999	71785.72951746396	70833.47296926475	69542.1143138923	67555.34585400327	64125.672072078174	61900.08861910067	60384.26196399369	59189.97080955116	58205.781218926924	56430.67335639671	55178.584723505366	53968.53022069362	52488.31137762267	51651.52435010923	50489.554859635384	48669.10668916026	46775.53287573426	43603.3432670669	38165.25771276666	29819.540619104984	21312.4793761513	7335.819224591249
27	37874.63877245933	46109.08139264191	61600.366264660326	91128.88592953832	118591.98705589393	126138.98644185907	132558.7260285605	141672.00167752648	144389.4515647046	145537.6004219358	146962.95865958097	147948.18894430783	148645.9242131332	148643.41583784876	148734.26792528853	149341.35154570482	149279.22812239607	148765.10748566006	148500.85739220935	149074.11968732622	149504.15614208774	149793.43419898103	149946.54795898925	149748.0616044859	149468.74844567158	149303.5452111074	148219.46762520305	141252.6849466061	134997.28134217736	128212.07568151422	126171.95123345815	121352.74838581457	116904.56399663426	115344.13326079457	114656.58234764145	113494.48668865196	99901.28693114739	79878.04408202856	67424.34335499808	66965.86672714449	66285.10757681057	65218.11308279081	64982.594709995	65258.6220944335	63889.10528316849	62444.95670800068	61730.32629303897	61952.91476731005	61870.25685777364	61555.56849538267	61221.64799746336	61675.48862153079	61965.48332285248	62172.063025283256	61969.1054350274	61563.68002789909	62208.84149219125	61522.13174644772	62534.042047435425	62275.4945607419	61800.60914622361	61351.764736847515	61054.71287728207	60794.00596906736	61199.11421059036	60987.88258472953	60270.86628433325	59383.666289015986	58634.18127205667	57895.85661996508	57249.28539225557	56637.91324357238	55823.501215014236	54912.067061881884	54157.155827715345	53565.526561634724	52514.95357020418	51192.57163900282	50503.42652595872	49739.90850297902	48713.11923635411	47067.17401076754	44269.01748696009	42624.57575231438	41309.51542412623	40316.78980634744	39296.05241484693	37891.724892233695	36941.470501152726	36021.99305414214	35038.81495975749	34409.06516357226	33535.11098803473	32175.623735120396	30834.78013746366	28671.51842922637	25532.794629972446	20707.535653181127	14657.360679354731	5052.469422497484
28	70297.87121219064	84369.01675258651	104478.20688476224	139712.07968760055	172522.02178945614	178979.38365547202	187567.6712076479	199838.82924741242	203617.10236994846	205404.05505158927	207910.89571013837	210055.13949552813	212010.16245848103	212343.33812696853	212472.77292906865	213312.43072927208	212893.96438253048	211666.72476947686	211012.08071993166	210689.14252310872	210695.53454072052	210665.7148523309	211085.2915107425	210778.57843698337	210126.33234359114	209598.82694660794	208423.2233453936	200705.07495681196	195045.21035449288	188416.36474698564	185390.39907066902	179940.40168784087	174391.72746412904	172181.1289648079	170433.53131436236	168716.21959676628	152323.15744897551	129310.92128836986	115274.74992527261	114625.26920610957	113391.75891660737	111603.61682571359	111058.67673384743	111144.39167799984	109629.50528889814	107920.96465029655	106886.22827157799	107342.93863991598	106540.43027068861	105557.09354986869	104322.80312739794	104397.56530506295	104377.7756398481	104062.62690578782	103251.27231792311	102237.4663600006	101674.85838864357	100211.72778738379	100600.97654898143	100158.47153682674	99365.39877610074	98340.60401426289	97579.68147654366	97916.51981875996	98388.942778117	97977.46298978866	97100.42387975207	96206.00336068	95321.3416468439	94476.7078671505	93676.19017469336	93102.7272039038	91791.57884524914	90499.67891996988	89308.86044839307	88568.33268785964	87208.23953811981	85514.84382760935	84445.78738138574	83262.00336853784	81837.00949340552	79785.94987494215	76528.38872105906	74487.74225621123	72767.18825374213	71412.09428925293	70358.60962212371	68454.38318664677	66817.92306841357	65117.545149376216	63384.22785116514	62432.67294220226	60941.11631753939	58764.56620339965	56390.344717111264	52561.70368582001	46434.41715440732	38142.14792977272	27611.70524069693	9563.591242264654
29	68303.60176779036	81711.59983023342	97607.83321739711	124895.03774463515	153107.2368170863	159446.03157388105	167191.43287168432	178697.95240671374	182300.71582708106	184260.30588096153	186601.78252519906	188946.97887771414	190907.75962657196	191066.9481766504	191421.89337464506	192608.63663072806	192258.27243871806	191259.38894511882	190841.73777497828	190691.18355052551	190550.74678399324	190665.05852607093	191067.77060203842	190726.43910464132	190218.2260217954	189624.80986549356	188605.7023462138	183039.97094750524	177856.2981761755	171329.24265402756	168703.5093512322	164892.11685723765	160237.44361649922	158196.81833126562	156610.82711732216	155464.43259004544	144279.44036871413	127418.79055378756	114823.64240152929	114074.87228564848	112831.68614984695	111094.41157581095	110511.5328830286	110507.27906348798	109068.28853718488	107418.09260523363	106380.92631921699	106835.3345958003	105658.94518146996	104376.05792964922	103148.11070431481	103129.16652009255	102851.36412187845	102297.95909365891	101329.72834354939	100332.99249495467	99305.13511515972	97503.73059039263	97313.38314097252	96908.84236138496	96167.57290371458	95296.371439911	94656.76121642908	94914.49642041158	95696.55392200612	95217.95440223228	94147.82883571899	93200.98728429267	92365.55708628013	91598.60873955356	90784.42814226636	90219.09161650122	88987.54169134832	87701.10444757306	86608.36057210848	85998.07292339351	84886.99564507497	83407.88780360317	82436.79725650778	81460.7757889847	80003.09695396425	77860.77907056347	75285.12959077505	73687.37422585358	72362.95956625984	71068.0746008943	70063.91609355716	68377.6569425962	66689.11070574037	65072.74243637466	63410.51410302185	62502.73181405905	61129.55903217464	58825.4865715241	56322.36602056395	52204.68616259598	45741.28665383027	37201.56521403563	26761.84693872858	9245.594350777052
30	88985.4762917188	107110.5689194102	131606.57667706194	176609.91423936118	220858.90986726322	230681.10758673126	240982.37121277675	255783.32242088526	260124.10886668044	263150.0892908011	266618.16254810704	269446.7279897752	271719.8232114562	271741.316584024	271903.4436967284	272798.1472557129	272199.51806350565	270850.04844981624	270176.13479032286	269663.7430687055	269713.8693326176	269835.5951169235	269885.7716521435	269156.486029385	268345.7623870105	267661.2199530961	266438.6096559217	258485.3592523205	251066.41964588198	242291.71556325856	239004.44950536994	232974.49259393587	226234.09199886664	223296.1544604296	221527.69519559437	219445.09944681491	198314.31676009897	167175.3598344863	150394.0648850727	145460.84644987606	144311.12144350505	142204.9517272684	141814.21622163907	142242.88877712883	140578.651583742	138917.99912818053	137706.0357918311	137864.55510797212	136789.49703159716	135559.06982443476	134223.97839757218	134358.4119034673	134487.422729587	134282.62449665926	133154.5992221228	131997.37995526768	130281.69367039383	130564.83131876179	132273.43938278971	131533.98350567248	130322.19645713172	129948.61948015435	129654.65413763357	130020.94135164768	131125.17705428915	130374.10119703432	128987.78783478032	127515.12068850725	126008.61017991276	124733.17209527658	123329.98399728339	122140.88107607204	120298.42267211253	118451.48261659428	117374.51429895546	115833.29855308977	113969.31129565452	111417.31872689833	109730.32329306426	107970.99001222696	105672.60390913446	102291.23640112075	96801.13971713276	93785.85797123374	91586.53434219402	89577.16297672763	87989.16760893587	85552.8578906955	83734.13013459959	81697.1334557003	79309.63164868113	78522.37926700013	76961.53052137393	74274.66953009099	70027.87681610754	64407.19756521018	56436.67270030722	45345.841447920575	32848.10650085056	11440.260825363432
31	70100.28882392554	83832.18243402526	132676.83101911866	234567.71550204774	326258.06478823547	361854.48512066406	380171.6565548842	416767.61512869864	426515.67612918734	429150.68018628145	432538.7512069049	435198.3780516648	437218.62454446836	437554.7299613638	438068.08441533166	439135.7929135224	438851.48594009894	438355.1121253578	438418.3792777258	441665.1099173664	446189.3852665926	447637.5510711337	448430.45792283025	448332.27015287074	448609.4061990313	448612.9139203604	445943.64789006277	419565.9026728226	403179.75166339905	381643.180003462	374994.1005922648	356885.0304566672	335943.8800574737	331951.1965481952	333138.25975944183	330276.9833272927	272878.8942080634	202107.32165891165	154507.6365705012	153667.36338937975	152041.30582676918	148540.76172832426	150010.23044153044	154742.39401211817	152220.607710525	148225.37228128494	147566.74823573855	148775.23177000246	150082.67762194952	150589.92488291484	150898.28076717464	153730.3028569056	157420.39312793242	162601.3728793041	164420.71955920733	163947.809195237	165688.06915485483	172425.54047105464	182481.18781638175	181184.9870469823	179157.4377192204	176712.86042397298	175704.40648018708	174793.29024878226	176719.21386182675	174931.18150675876	171216.91887136208	166386.13176304876	162611.73842714718	160287.18817957724	158528.24708908336	156526.95260545035	154162.58168697092	150973.5567579258	148333.29095408824	145259.35701222176	142002.23264729913	134797.4185372346	131406.1385451063	128753.9013547636	124909.97709955157	116583.56381743157	99912.03968408845	90610.00713113628	85446.33011427935	82548.40264908057	77166.33588948663	71355.4066335948	69353.13592779137	67741.89428515508	66027.98723547644	65286.85593240112	63689.94080514637	60990.948066237754	57908.55922102003	53100.63070314023	46409.9149612303	35485.55046816375	24705.351198698718	8501.324644284578
32	30504.825367505666	36944.990167219075	47415.98145985289	70015.40840760004	92660.7880403336	98777.10690388049	103738.79386488289	111182.59206113874	113287.167373534	114221.16580684064	115578.20464734845	116392.11533483728	116960.9425515939	116744.65971240823	116602.01577647425	116937.30625276825	116655.09013542841	116078.36604177294	115837.78101531292	116011.93525377191	115966.97662112527	115910.90194828292	116088.56041429723	116014.02161823853	115793.54898319172	115613.46278781691	115107.7546765363	111066.09468676617	107502.37944884617	103166.73636703406	101704.43976956804	98847.46748811062	95415.6902311297	94251.86594103154	93660.47294440871	92749.14216819343	81529.14477242125	64989.73455336111	52814.98035196539	52467.097421806175	51951.08076495118	50910.36481408982	50653.7771755389	50916.48842278933	50211.87868060936	49323.564823919136	48776.35228621215	48939.015060952326	48629.39125804781	48323.62411376661	47896.99507297913	48419.171000438306	48782.74098393756	49069.72910607017	48903.53622940934	48723.68988749707	49393.31320789106	49175.795441916554	50430.06554420116	50412.27334613148	50118.00570424294	49754.437090416446	49578.40053582948	50028.03318873192	50769.551063757295	50523.253781611784	49945.85961902903	49236.187990744256	48549.67284515563	48028.01502524482	47501.64420278885	46972.65882615416	46218.45928848479	45425.66432861218	44896.54519346746	44423.6258105638	43420.83960229562	42061.58572876052	41284.627354410586	40557.246437664995	39611.15361560221	38039.64133058418	35243.24553822024	33695.62935193498	32734.814816608687	31926.201698436715	31027.898109073405	29909.761548682025	29142.06240048017	28311.941439849033	27385.15042329146	26985.265818372533	26416.397637569247	25394.06202475687	24259.952692471972	22446.62825519377	19461.161225820735	15242.319092272366	10969.530329670346	3796.935889220853
