Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
17	17.markdup.sorted.bam	59013789.0	227569528.0	131957594.0	68946848.0	415073.0	0.0	1.2	68946848.0	20407974.0	5774986.0	1191252.0
2	2.markdup.sorted.bam	70994269.0	255767224.0	143787994.0	85417126.0	456428.0	0.0	1.16	85417126.0	20370464.0	5708602.0	1177578.0
20	20.markdup.sorted.bam	73692098.0	212128762.0	82359560.0	104368832.0	737006.0	0.0	1.17	104368832.0	19022979.0	5599119.0	1701657.0
26	26.markdup.sorted.bam	169049934.0	316374529.0	180088952.0	78292623.0	510870.0	0.0	1.54	78292623.0	46485549.0	10927485.0	3195629.0
27	27.markdup.sorted.bam	200561689.0	864599051.0	771621397.0	55782032.0	358371.0	0.0	1.58	55782032.0	29858398.0	6950048.0	2068808.0
28	28.markdup.sorted.bam	186313159.0	260201248.0	95737285.0	94714259.0	639242.0	0.0	1.56	94714259.0	56930301.0	12127192.0	3889396.0
29	29.markdup.sorted.bam	170999060.0	263002905.0	115579274.0	90616983.0	618918.0	0.0	1.48	90616983.0	46048215.0	10084947.0	3476631.0
30	30.markdup.sorted.bam	221699874.0	368463113.0	182863162.0	115884127.0	859223.0	0.0	1.52	115884127.0	55659767.0	13131910.0	4691151.0
31	31.markdup.sorted.bam	243267644.0	502743475.0	338406433.0	117433449.0	709726.0	0.0	1.6	117433449.0	36165410.0	9984193.0	3823048.0
32	32.markdup.sorted.bam	191789612.0	998495312.0	930809518.0	42213951.0	286242.0	0.0	1.53	42213951.0	19905239.0	5262166.0	1707543.0
33	33.markdup.sorted.bam	214318874.0	500605012.0	353598256.0	104252148.0	671088.0	0.0	1.76	104252148.0	32577200.0	9454695.0	3584663.0
5	5.markdup.sorted.bam	56276415.0	210164284.0	119835653.0	59365218.0	345840.0	0.0	1.17	59365218.0	25070818.0	5502383.0	1133556.0
