Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	447	448	449	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	466	467	468	469	470	471	472	473	474	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498	499	500
17	13606349	6410840	3263927	1746717	997081	613712	402512	280280	205405	156092	121375	96786	78516	64731	54443	45601	38913	33413	29288	25515	22137	19677	17663	15633	13889	12671	11394	10442	9706	8764	7982	7347	6774	6262	5767	5289	5176	4666	4353	4073	3805	3690	3340	3222	3042	2835	2702	2453	2361	2212	2097	2013	1888	1742	1750	1710	1644	1459	1410	1391	1305	1245	1183	1146	1131	1093	1029	973	927	864	901	823	756	839	775	702	724	662	658	624	570	593	597	548	562	571	487	495	463	456	458	459	436	440	374	407	348	375	333	361	336	293	325	275	314	294	294	280	286	264	266	238	237	240	242	240	205	208	204	211	191	206	216	192	205	196	167	193	174	163	182	179	155	151	164	153	145	166	154	131	156	128	132	128	137	107	113	103	123	100	98	117	119	112	105	90	83	117	100	93	90	77	97	104	85	86	97	95	78	71	68	91	76	71	90	92	76	73	52	65	70	68	87	60	68	66	63	52	54	51	59	54	49	52	59	62	54	53	51	61	45	51	51	55	42	43	59	43	44	33	38	45	37	49	36	41	39	51	38	34	51	39	45	34	34	34	27	35	33	31	46	37	40	28	35	27	38	26	31	36	37	30	38	27	36	28	20	33	32	24	19	32	25	27	29	24	25	27	18	23	17	25	29	27	23	32	16	24	25	22	22	19	20	17	27	19	26	25	14	22	18	22	19	14	21	16	18	20	21	12	22	13	19	17	19	25	18	14	19	16	29	17	16	16	15	11	19	11	21	19	15	23	9	14	13	11	10	19	9	18	12	8	20	13	12	13	12	15	13	11	13	13	18	8	14	10	9	8	11	7	5	12	8	15	11	13	7	12	18	13	14	10	10	8	11	12	11	9	6	13	7	9	11	9	12	14	7	9	3	10	7	10	10	13	13	12	7	9	8	9	12	11	8	5	9	5	8	13	8	11	4	10	6	8	7	11	3	5	8	10	6	8	8	14	7	11	3	9	8	14	11	6	3	8	8	2	10	5	7	4	4	2	12	5	5	3	6	6	4	5	6	7	10	8	6	6	6	2	6	7	9	7	5	7	4	6	4	11	7	7	3	13	2	4	9	9	7	6	3	6	6	4	4	9	3	7	7	2	5	2	8	4	4	5	3	3	2	4	3	5	5	2	3	2	5	1	3	1	3	4	5	7	3	2	6	5	6	5	6	7
2	17000033	6858450	3096480	1557931	877154	546041	368211	262413	195930	149342	117269	94940	78110	64410	54255	45911	39281	34229	29502	26003	23147	20448	18219	16348	14570	13457	12229	11075	9866	9290	8534	7907	7159	6630	6212	5646	5340	4952	4741	4427	4101	3798	3529	3351	3172	3001	2955	2737	2563	2482	2376	2288	2183	2085	1862	1848	1745	1723	1547	1496	1436	1392	1406	1258	1288	1222	1204	1051	971	980	994	992	949	935	836	842	834	807	764	757	693	614	621	640	597	559	600	581	541	516	499	528	493	500	448	461	448	386	433	386	353	358	384	356	323	347	340	345	324	300	303	291	258	285	282	254	237	243	254	279	229	235	216	218	203	201	206	226	216	198	203	185	173	175	225	183	163	158	183	175	149	160	174	151	160	149	142	139	141	158	131	136	121	139	141	115	116	112	106	100	119	122	108	99	101	110	111	81	95	106	77	94	93	81	74	89	101	75	71	77	75	88	84	87	70	75	67	65	69	76	71	90	76	70	62	66	56	61	64	61	54	70	69	56	39	56	49	53	56	53	63	68	56	52	56	38	51	36	61	58	40	50	49	50	57	41	42	52	39	37	39	46	56	47	47	48	35	45	39	41	40	34	35	44	36	38	36	35	30	29	49	37	25	39	36	37	38	26	34	31	36	32	42	36	35	32	17	32	21	34	27	38	30	27	30	32	29	22	25	29	28	28	28	22	21	23	26	22	22	29	23	20	24	23	21	16	23	30	20	20	29	18	17	19	22	31	26	18	26	18	32	18	23	24	17	16	24	16	24	22	13	18	14	14	20	18	9	15	18	12	18	19	11	10	19	21	17	23	17	18	21	18	13	11	19	14	15	21	13	18	17	15	14	13	17	11	14	13	15	8	9	8	11	11	15	10	10	13	7	14	15	16	9	14	8	17	9	17	9	8	12	7	22	11	12	14	9	9	10	7	8	7	17	6	12	11	9	13	12	5	14	10	15	10	8	9	11	6	7	8	7	6	11	10	6	8	10	11	7	13	7	5	7	8	3	6	11	6	14	7	3	11	12	3	9	8	8	6	12	5	7	8	9	10	6	7	3	5	5	5	5	7	8	12	3	7	6	12	7	6	6	9	4	11	7	5	8	7	5	9	5	12	6	3	8	2	6	6	7	10	4	6	5	3	11	1	6	3	5	3	2	2	6	6	5	7	4	1	6	4
20	14186210	6762050	3533637	1977964	1197169	785171	546590	402092	305958	240950	193691	158760	131642	111065	94749	81261	70458	61601	54607	48178	42844	38143	34814	31098	28148	25554	23621	21315	19603	18127	16518	15553	14357	13249	12364	11650	10837	10267	9545	8875	8440	7988	7401	7087	6711	6332	6036	5681	5502	5256	4919	4708	4534	4373	4119	3862	3775	3652	3486	3339	3069	3086	2974	2876	2786	2520	2556	2413	2436	2259	2211	2134	2003	2028	1956	1834	1761	1816	1687	1623	1639	1612	1540	1516	1435	1417	1288	1296	1275	1247	1277	1176	1142	1103	1090	1059	995	957	953	984	946	851	873	891	890	846	785	778	760	751	724	761	726	738	707	651	626	630	613	649	572	594	572	610	569	551	606	490	541	530	500	520	430	460	483	437	449	445	411	445	425	379	400	378	436	370	399	398	350	367	352	358	361	319	329	345	334	316	315	277	297	307	298	261	287	294	266	225	269	292	283	260	311	248	259	254	247	237	231	209	235	225	234	246	215	213	198	211	225	228	196	173	198	190	177	191	176	188	192	165	170	178	167	176	175	179	167	178	164	167	175	181	132	142	155	138	134	155	141	135	145	127	124	132	141	131	129	131	115	139	140	118	117	113	134	93	130	137	115	98	141	111	138	102	108	94	104	112	107	117	114	100	115	93	101	98	77	117	96	81	97	87	83	112	88	105	70	96	93	79	79	73	77	70	75	77	83	75	78	80	76	79	79	76	74	75	75	60	81	62	62	72	63	73	88	69	62	80	71	59	61	65	64	58	62	58	60	47	54	65	56	70	52	68	68	46	42	63	68	70	52	58	56	67	63	54	52	63	57	41	52	48	43	55	47	63	50	44	48	49	49	45	40	56	57	49	39	47	35	36	46	47	27	48	44	44	33	38	35	45	47	45	37	40	52	39	54	41	31	42	43	36	30	43	29	44	48	27	34	30	40	36	32	38	36	40	30	27	37	28	28	32	35	43	54	36	30	30	31	38	38	36	35	27	33	33	30	31	36	23	28	26	20	24	28	32	38	32	23	35	29	23	32	25	25	32	25	28	26	34	23	25	23	29	30	18	22	32	22	27	18	21	33	23	18	23	27	29	21	22	17	32	26	24	16	20	24	21	28	18	19	28	28	24	27	18	23	23	30	12	27	20	17	19	17	20	13	18	12	20	24	28	26	18	17	17	23	23	20	15	22	22	19	16	31	16	16	21	24	17
26	16512434	9125516	5341418	3020260	1713690	1012405	636593	430699	308568	231034	179630	143085	116858	96569	80904	68347	59619	51400	44451	39113	34674	31022	27651	24476	21947	20051	18131	16427	15006	13974	12580	11536	10789	9976	9140	8686	8053	7318	6917	6456	5960	5753	5254	5026	4793	4504	4194	4102	3890	3632	3448	3279	3221	3039	2873	2698	2616	2365	2329	2171	2127	2059	1931	1878	1817	1683	1647	1604	1481	1462	1368	1390	1408	1295	1219	1241	1145	1121	1019	1073	1010	978	937	882	846	842	827	811	813	755	709	739	640	695	662	624	623	607	584	550	506	548	522	522	506	477	457	444	445	465	422	402	431	442	418	363	366	362	379	336	345	369	301	303	297	267	323	289	303	244	276	278	274	249	258	282	250	266	278	237	225	232	214	212	201	225	210	213	205	182	168	202	186	178	194	194	163	182	163	156	176	169	164	153	141	137	153	142	142	116	137	133	123	139	144	123	105	124	123	100	112	125	126	105	105	104	96	121	101	110	97	98	117	86	99	104	97	96	88	89	78	73	94	88	80	75	70	84	84	72	71	78	71	63	74	77	69	63	81	75	60	69	57	75	53	62	66	65	66	69	60	72	66	48	56	48	49	57	58	55	60	50	53	44	53	45	52	45	46	56	41	47	48	47	59	45	40	35	43	39	38	38	49	33	39	43	37	38	37	46	38	45	35	40	41	37	40	32	43	39	32	42	36	35	33	31	37	28	31	35	24	30	34	22	27	25	28	25	30	26	35	26	27	29	34	24	25	24	26	26	24	27	29	32	25	19	29	22	21	30	26	16	22	36	23	22	21	27	29	21	26	21	22	24	14	27	17	30	12	18	21	22	21	23	20	18	19	26	17	10	24	17	18	24	22	21	19	16	14	18	13	10	10	14	13	16	18	13	15	14	16	17	12	16	18	9	20	13	17	14	11	18	14	14	14	17	12	15	11	12	13	12	14	14	17	8	13	14	15	14	5	13	10	9	13	10	12	7	11	13	11	11	18	16	11	13	12	11	15	9	18	5	11	16	18	14	14	14	6	10	11	15	14	9	9	12	5	10	11	10	12	9	6	9	4	9	13	7	7	12	9	11	13	5	9	3	14	10	9	8	11	8	5	8	8	7	12	11	7	11	6	6	11	6	8	9	12	13	8	6	6	6	5	3	11	10	4	6	6	6	9	7	7	5	4	5	7	5	9	10
27	20577743	7657728	3122453	1431077	760639	459630	305000	216326	160831	123447	96919	77188	63750	52365	44180	37401	32102	27566	24396	21276	18469	16479	14681	13255	11771	10837	9775	8820	8066	7489	6650	6303	5802	5322	5171	4561	4323	3998	3709	3468	3332	3043	2883	2665	2579	2343	2300	2310	2026	1880	1844	1674	1668	1496	1488	1416	1415	1353	1218	1218	1119	1130	1019	1028	944	909	917	879	790	781	743	727	703	671	667	631	616	644	611	567	513	527	517	518	430	527	432	444	445	419	417	382	371	345	344	366	328	340	348	294	310	290	282	293	254	228	250	282	282	261	227	240	236	236	206	215	186	177	201	152	185	179	164	172	149	163	178	172	160	153	141	153	151	151	134	162	140	138	126	130	140	125	107	143	123	108	119	112	103	102	104	107	106	86	100	100	101	77	87	95	97	97	82	89	89	70	80	77	70	80	74	84	68	65	68	60	62	55	63	64	64	64	64	60	46	65	56	43	49	55	67	64	52	55	62	61	41	46	44	45	56	45	61	56	45	51	39	37	49	54	47	41	40	43	40	39	39	43	37	39	34	41	35	25	38	32	32	32	33	34	25	30	41	34	34	31	36	25	29	35	22	26	22	28	30	33	27	42	29	26	28	27	19	21	30	30	26	16	29	24	21	18	26	12	21	29	18	21	20	28	21	22	25	23	23	17	17	18	22	21	17	21	32	18	19	18	19	12	18	20	19	21	12	21	10	14	15	17	15	12	22	13	12	12	16	16	16	12	15	13	16	17	15	16	7	9	12	17	17	13	14	15	11	11	14	14	10	13	12	14	15	12	19	18	19	11	11	17	14	6	12	11	7	12	12	7	9	14	10	13	11	9	10	21	9	12	13	9	11	6	12	9	13	9	13	8	6	16	11	10	9	10	9	6	10	15	10	7	8	8	11	10	8	4	7	7	12	6	9	9	12	11	12	10	6	6	10	5	8	11	13	7	5	7	9	4	8	9	8	7	9	11	8	6	10	9	9	6	6	9	8	9	4	3	9	6	4	10	4	9	1	6	7	7	5	6	6	5	3	9	5	5	8	5	10	5	6	7	5	6	9	5	6	8	2	10	10	3	10	11	3	2	3	5	5	10	8	4	4	6	1	7	6	6	3	4	9	4	6	6	4	2	7	7	7	6	3	7	2	4	3	7	1	2	4	8	5	7	7	5
28	26551427	11944884	5819515	2960500	1631601	987790	653893	463349	345988	267299	212172	172989	142709	119968	102113	87341	75836	65453	57591	51131	45326	40139	36167	32955	29537	26495	24258	22246	20562	18790	17150	15958	14684	13771	12573	11650	11372	10403	9466	9040	8388	7987	7349	6920	6594	6260	5784	5639	5364	5093	4884	4558	4374	3997	3939	3725	3517	3364	3293	3195	2982	2910	2795	2676	2474	2396	2311	2163	2069	1977	1916	1959	1894	1764	1735	1638	1665	1535	1513	1465	1435	1354	1376	1287	1264	1214	1213	1155	1090	1038	1039	1003	977	968	939	894	835	884	852	802	740	769	727	740	725	658	667	678	649	636	580	574	532	540	514	529	536	518	475	485	466	479	450	469	464	423	428	399	364	376	394	363	386	384	366	353	326	326	336	345	321	306	300	323	263	280	281	274	258	266	280	260	246	251	233	232	270	225	211	218	214	235	208	221	215	189	223	187	192	205	156	189	206	187	167	191	159	174	170	152	154	157	140	149	164	154	168	138	139	121	142	139	101	153	142	103	159	125	130	128	103	131	134	125	104	122	120	106	116	108	115	120	91	104	109	108	94	106	102	107	95	92	83	87	93	88	89	88	89	79	80	85	75	98	71	72	93	84	60	68	65	73	65	89	70	73	71	82	62	74	53	79	57	79	67	64	58	64	51	76	65	61	54	57	58	63	58	59	58	59	52	52	45	52	53	52	48	48	57	50	51	50	38	46	32	39	45	56	32	45	39	40	57	35	46	34	44	44	40	40	55	47	41	33	35	42	28	40	35	47	49	35	35	25	41	36	36	33	32	37	42	31	27	32	30	24	37	35	41	33	33	44	25	31	31	26	27	29	34	21	35	36	29	29	25	31	32	34	28	25	31	21	25	27	25	26	29	29	27	27	25	25	29	18	27	21	27	30	21	17	19	24	18	26	26	13	12	15	21	22	30	18	35	17	18	19	17	22	22	22	18	23	13	18	20	21	23	26	21	16	18	14	14	23	22	21	23	18	21	18	22	21	17	10	15	11	20	12	20	14	25	15	14	14	16	13	14	17	8	17	14	14	13	13	14	13	13	11	18	12	14	19	13	17	19	10	17	11	12	10	9	13	13	15	18	11	16	17	13	15	9	15	10	12	8	12	16	10	7	8	11	14	19	15	9	16	6	16	8	17	11	10	9	11	7	12	17	10	6	11	7	12	10	11	12	9	18	9	8	11
29	16953148	9407324	5389947	2988131	1691091	1019235	664944	465864	344097	265209	210490	170857	141186	117988	100682	86385	74727	65255	57039	50386	44947	39671	35968	32614	29551	26184	23963	22290	20101	18540	17132	15890	14503	13357	12427	11855	11012	10125	9461	9041	8362	7961	7300	7063	6710	6347	5861	5547	5223	4938	4869	4467	4346	4066	3860	3813	3514	3418	3276	3212	2993	2814	2728	2645	2523	2391	2360	2290	2154	2043	1934	1947	1851	1823	1745	1678	1563	1548	1557	1463	1377	1369	1294	1244	1272	1201	1151	1141	1080	1036	1007	978	966	952	971	928	899	879	834	823	780	736	712	732	760	666	686	642	667	624	628	648	603	561	580	557	535	494	551	511	503	473	439	419	435	413	442	432	393	379	385	404	394	347	388	307	330	349	331	328	303	309	275	304	328	290	293	307	282	277	270	293	268	251	275	248	221	239	247	232	234	215	216	212	238	218	194	194	198	178	202	158	185	169	185	178	173	171	169	184	174	166	165	156	147	149	139	139	145	162	148	165	133	145	139	126	127	119	119	138	128	124	125	110	112	98	109	91	127	102	109	120	106	111	109	97	109	101	107	113	97	99	87	89	105	71	89	91	79	80	90	86	87	86	74	82	97	76	71	61	74	76	72	78	80	88	68	49	59	83	52	77	74	56	61	75	59	66	69	56	75	61	57	67	56	57	59	62	54	54	56	55	43	63	50	50	52	61	50	53	44	52	58	51	64	51	37	54	46	46	47	57	51	60	51	28	43	41	47	42	39	41	31	45	45	40	34	41	41	42	32	40	38	41	37	22	33	39	34	37	41	42	38	41	30	34	23	28	35	39	29	37	32	32	31	25	35	40	31	34	33	31	27	32	34	20	31	41	33	28	24	23	22	25	30	33	32	33	29	28	27	22	25	23	24	19	25	23	23	33	33	22	24	21	28	24	29	30	19	23	19	21	18	20	28	16	21	20	28	20	31	18	23	19	18	26	21	13	27	22	14	20	18	19	28	14	22	25	29	20	16	14	27	15	16	15	13	13	20	16	15	16	12	15	20	21	21	20	13	13	14	12	15	11	14	18	13	16	17	21	16	14	8	8	16	12	8	14	15	13	10	26	15	7	19	16	16	12	14	11	13	10	8	11	9	16	10	10	8	15	15	8	5	15	10	15	16	10	13	17	8	9	12	15	12	24	12	10	11	8	21	9	15	19	10	13	12	14	15	8
30	13603934	8593545	5938737	3869141	2438237	1543795	1009945	695568	503727	381187	297984	240037	197488	164381	139631	119091	102770	89666	78951	69166	61917	54691	49298	44425	39992	36242	32866	30061	27487	25425	23401	21560	19989	18300	17217	15712	15241	13964	13010	12283	11520	10827	9885	9645	8796	8381	8087	7721	7115	6872	6647	6204	5807	5763	5423	5111	5104	4734	4517	4184	3972	3913	3795	3589	3455	3305	3042	3102	2909	2847	2682	2538	2551	2577	2430	2326	2193	2053	2038	2022	1928	1916	1775	1775	1655	1735	1622	1521	1523	1397	1437	1387	1257	1296	1240	1185	1227	1142	1146	1148	1078	1014	1059	1008	991	911	875	883	849	822	854	883	732	803	756	771	729	756	698	708	681	673	657	609	648	588	573	580	554	503	540	543	567	527	507	501	453	435	453	449	460	439	389	406	454	392	408	384	393	427	366	360	394	347	315	363	306	334	311	286	277	305	272	296	298	271	296	282	263	245	295	258	243	272	217	254	221	253	223	225	268	224	210	206	176	252	200	184	215	224	195	189	193	200	200	185	164	203	174	183	195	175	181	154	163	175	158	156	139	172	139	172	167	159	131	151	160	145	135	144	131	131	129	121	145	111	123	115	135	139	131	131	109	134	100	106	106	106	110	116	114	105	105	112	98	100	108	121	106	99	98	134	97	92	99	100	77	88	81	107	70	104	100	82	92	88	75	85	96	73	75	79	89	84	68	76	84	73	84	54	85	88	69	60	70	62	72	60	68	72	59	62	60	64	50	66	78	70	48	76	83	63	69	66	56	55	57	48	72	51	51	55	48	60	54	42	45	56	51	59	46	48	44	50	44	49	36	39	45	46	61	50	41	45	46	47	47	38	47	47	53	38	47	43	57	46	48	38	52	46	46	49	44	37	30	48	32	49	39	29	32	29	30	33	33	35	40	38	36	41	26	18	40	37	42	26	26	45	35	40	40	34	31	29	28	32	23	27	25	31	39	30	33	25	27	21	25	34	25	22	32	29	23	21	31	24	28	37	25	26	28	24	21	19	32	31	27	30	29	26	29	30	25	26	27	27	19	25	20	20	20	20	20	28	27	27	24	28	19	33	27	23	15	19	17	22	22	22	16	24	22	20	21	26	25	25	20	13	27	30	18	25	24	18	18	22	21	25	24	20	25	21	15	16	22	19	18	19	19	23	22	22	25	22	22	11	17	16	14	15	14	8	17	13	17	17	17	17	25	22
31	6440977	3778644	3164326	2578849	1974000	1433870	1011734	706299	498707	362889	272253	212979	170114	139891	115782	98282	83766	72339	62579	55003	48698	43106	38303	34277	30892	28000	25658	23308	21063	19227	17667	16029	15094	13908	12808	12012	11103	10490	9959	9193	8560	7902	7516	7011	6736	6366	6037	5642	5264	5117	4829	4582	4318	4179	3913	3725	3595	3454	3159	3095	2959	2868	2676	2621	2550	2498	2357	2243	2075	2222	2039	1975	1863	1827	1764	1731	1562	1682	1498	1402	1473	1344	1310	1298	1307	1226	1198	1138	1180	1105	1000	1021	983	964	972	930	865	797	829	818	833	774	714	787	712	706	681	664	670	622	629	636	627	569	568	526	512	580	496	568	469	501	506	464	487	460	428	428	426	410	422	398	399	369	371	395	382	312	385	331	334	338	310	307	307	311	305	302	294	267	294	266	265	256	245	243	229	255	242	249	256	229	214	222	220	219	211	209	211	171	213	219	203	198	186	209	195	179	189	192	180	178	174	174	183	156	167	151	153	158	156	132	156	148	138	144	146	138	138	131	112	149	152	116	137	148	148	111	115	140	135	107	120	108	130	102	108	107	113	105	104	115	99	109	118	111	101	112	107	98	107	81	95	107	102	75	109	94	83	93	82	84	93	97	73	80	104	79	76	86	82	56	73	80	65	80	72	73	68	71	77	76	72	74	79	68	69	84	72	53	60	62	70	61	67	65	67	81	55	56	65	62	60	57	54	62	50	57	47	49	60	42	44	56	50	55	34	53	52	46	47	43	45	61	45	57	50	42	47	46	53	49	50	47	42	48	43	46	47	45	46	53	38	46	53	40	43	44	40	38	25	39	40	47	44	49	41	40	49	38	34	33	38	47	39	36	51	39	30	34	26	40	39	33	33	35	33	23	31	32	28	35	31	48	34	30	39	30	35	28	38	22	23	31	25	33	29	36	40	33	23	24	26	16	31	22	45	28	11	32	34	23	25	26	35	29	22	20	30	25	28	24	29	25	27	20	18	18	28	19	25	23	29	30	27	22	23	26	17	21	18	21	22	29	23	19	22	18	16	23	12	18	22	16	29	18	18	25	13	25	21	17	20	22	17	9	25	30	12	23	18	21	13	16	25	12	15	15	25	17	17	19	14	14	14	22	14	17	9	16	23	10	16	17	16	13	13	20	17	21	21	17	14	10	11	9	20	14	25	15	10	21	19	17	17	16	16	10	8	16
32	13619374	5517109	2384941	1113183	585204	347453	226717	158719	116868	88107	68610	54765	44317	36671	30227	25652	22106	18928	16256	14234	12531	11036	9647	8809	7865	6937	6422	5669	5291	4869	4492	4053	3741	3466	3313	2996	2831	2729	2488	2260	2175	1965	1884	1737	1679	1515	1486	1439	1343	1235	1220	1232	1045	1024	1006	941	905	846	839	825	783	740	704	674	605	618	597	577	549	503	540	508	504	467	457	403	441	414	418	375	362	341	372	336	353	300	280	292	265	290	284	291	260	262	260	248	236	245	209	207	224	239	211	195	213	177	183	186	185	193	176	160	145	169	167	181	155	155	140	142	130	137	129	126	143	116	118	99	132	128	123	111	131	74	113	114	100	122	112	106	93	94	91	85	97	94	82	76	74	74	86	87	77	89	71	78	86	71	52	83	78	69	81	57	63	57	72	52	64	57	64	56	47	70	60	47	55	51	60	65	52	54	49	53	46	55	51	46	43	41	36	48	46	44	51	44	50	53	43	38	43	43	42	48	34	40	31	42	41	32	48	41	42	37	30	28	44	36	36	39	46	33	35	35	29	34	31	34	37	29	38	25	28	35	23	32	22	32	28	26	30	33	39	21	21	26	20	14	25	24	20	28	21	28	34	20	29	26	23	11	13	29	18	33	22	25	18	28	19	17	19	20	17	16	17	18	17	19	22	19	20	35	15	23	19	13	17	17	21	22	15	13	18	20	20	27	19	18	11	10	19	12	17	15	21	19	16	16	12	18	16	19	18	13	14	21	14	10	11	11	17	14	13	14	17	9	14	14	14	12	17	12	11	20	11	8	12	12	17	12	19	18	17	15	12	10	11	13	14	9	11	8	14	11	7	13	20	9	9	11	12	9	10	10	13	6	9	11	4	9	14	13	11	10	11	12	6	10	9	8	14	11	11	6	6	11	7	5	4	12	9	7	11	4	10	9	14	5	8	6	3	8	5	8	7	9	9	6	5	5	4	7	9	8	8	8	9	10	9	12	3	9	6	7	6	4	4	6	7	8	6	9	7	8	9	11	7	5	6	4	4	3	6	7	4	3	5	5	12	4	8	4	4	4	6	6	5	7	6	5	3		6	10	7	3	5	1	6	7	6	6	4	7	4	4	4	7	7	6	6	7	5	4	4	9	6	6	5	6	2	9	2	4	6	4	4	2	10	4
