Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrM	chr22_KI270733v1_random	chrUn_GL000220v1
17	10603818	7118528	5195725	3000577	4696338	8178133	5588296	3550595	4848965	3490691	4556101	4494045	1310824	18462983	2418037	3297577	5816234	1136707	4303171	2593330	60003098	2498714	2833974	356731	29419032	27451189
2	10712071	7069698	7309999	2761159	4752685	14771328	6513242	3858272	7165224	4200722	4692299	5627108	1223938	42840055	2609551	4259289	6342894	1073987	4169688	2593707	53196750	2322219	2634711	507058	27210276	25003004
20	14619044	10755367	6775277	3662791	6380037	9813164	8118919	4637358	6531953	4639794	7098563	7009054	1727069	18023939	3887903	5624157	9233055	1390824	8227239	3989190	31980705	4006368	4504871	397017	14947743	13865413
26	16042689	12581950	11856891	4479163	7537701	11643775	10076889	5973619	10479255	6703153	6480070	7558192	2097537	19325315	4087385	5601440	8139913	1752829	5384356	3862358	73406094	3563953	3718804	734860	37185739	35387476
27	12924001	8953982	8859420	2991934	5325328	9056167	6509275	4725752	7607948	4389128	4377129	6139471	1498257	14923877	2680838	3477389	5247293	1137852	3426335	2505436	369213468	2309967	2775264	1614544	189335147	182148151
28	19298691	15726075	14577508	5629163	9711050	12283592	12625748	6795051	12686291	8046720	7848139	9420237	2507498	18649312	5111903	6400244	9503362	2265545	6426914	5022387	30950709	3989781	4458470	617453	14855256	14058346
29	18068612	13090350	12229945	4638418	8463613	10935635	11654798	5661385	10521786	7014206	7025866	8768618	2018361	16425726	4358949	6110869	9572772	1840000	6698286	4765845	42683728	4089482	4182889	482096	21138733	19936490
30	23488424	16237014	15303007	5602286	9279753	14458380	12539117	7326687	13607957	7036531	9434672	9683899	2682557	27510834	5032424	7285644	13105944	2319571	8980749	5970370	69854256	6223847	6421918	654242	34963427	32826771
31	18583642	17463128	28303303	3495647	6259019	28782749	9061232	4817332	33896988	4676393	6943835	10445243	1676802	115375895	3571490	5776711	14672865	1485482	7797441	4588453	82352607	5770515	4902273	533560	41765079	39300844
32	11132249	5730846	6109178	1804735	3680009	6083083	4325289	3301702	5640657	2385724	3121251	4728362	985963	13240381	1713418	2507132	4764889	759515	3193313	2231727	453716922	2221716	2432910	1137249	231386109	219939680
33	17232218	11657508	18643980	2996589	5939164	19535750	8598420	4178521	22678528	4218688	6436967	8278003	1425060	63104777	3264632	5436938	11983566	1246089	8083000	4479026	130095161	5150013	5403518	612851	66381492	63124810
5	9404783	6713185	5862463	2781280	4494251	9419521	5988863	3394303	5305971	3771267	3971858	4842284	1185909	23021256	2331812	3384761	4866536	1053202	3145388	2299964	49730729	1766671	2152508	276411	25275263	23361670
