Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrM	chr22_KI270733v1_random	chrUn_GL000220v1
17	0.0465959484698672	0.03128067304336106	0.022831373979032905	0.013185319784993358	0.02063693694526624	0.035936854428067364	0.02455643358367382	0.015602242669326097	0.021307619884855585	0.015339008832500632	0.02002069890481998	0.019748008617392745	0.005760103347404227	0.08113117411747675	0.010625486730367522	0.014490415430311918	0.025558052745972212	0.004994987729640148	0.018909258360811823	0.01139576999957569	0.26366929934485783	0.01098000255992094	0.012453222647629695	0.0015675692749162796	0.129274917685816	0.12062770108658837
2	0.04188210996104802	0.02764114138408915	0.028580671462423192	0.010795593574569978	0.018582072111006685	0.05775301373251797	0.025465506870419017	0.015085091590938174	0.02801462942726391	0.016424004351706926	0.01834597461948447	0.022000895626876727	0.004785359049758463	0.16749626605792148	0.01020283584107712	0.016652989907729537	0.024799479389118285	0.004199079863336985	0.016302667459846223	0.010140888888874988	0.20798892511731684	0.009079423718498035	0.010301206537707115	0.0019824979607238496	0.10638687621679	0.0977568728665562
20	0.06891589741140336	0.05070206839749529	0.03193945477322872	0.01726682871981311	0.030076246803344846	0.04626041234332947	0.03827354161431442	0.02186105248660245	0.030792396742503027	0.02187253607787519	0.03346346310171744	0.03304150712009529	0.00814160693588548	0.08496697397404318	0.018328033234833098	0.026512939343887747	0.04352571010620427	0.0065565083531671205	0.03878417486828118	0.018805512097411853	0.15076081479229111	0.01888649121517996	0.021236493144668425	0.0018715849574420275	0.07046542326023662	0.06536319200316645
26	0.05070790322693772	0.039769162327223884	0.03747738807380414	0.014157786387411737	0.023825246058288087	0.0368037687382855	0.03185113868632579	0.018881478919562454	0.03312294144893061	0.021187397800914623	0.020482274665037905	0.023890014230570376	0.006629917416645131	0.061083662648455495	0.01291945028861663	0.01770509154989528	0.02572872419827451	0.0055403606780241145	0.017018930117474785	0.012208182536717424	0.23202276817929296	0.011264980816455043	0.011754435515888196	0.0023227533591997857	0.1175370821334356	0.11185311318156084
27	0.014947970374304748	0.010356224644988652	0.01024685371763148	0.003460487258850808	0.006159303545199011	0.010474412375916429	0.007528663132895343	0.005465830658192569	0.00879939434492856	0.005076489495244658	0.005062611386095542	0.007100945800135976	0.0017328922559735726	0.017261037914324522	0.00310067192058484	0.004021967171925568	0.006069047836602356	0.0013160458581164924	0.003962917835772642	0.002897801006260878	0.4270343202123177	0.0026717204897787933	0.003209885549596792	0.0018673904373739591	0.2189860684915325	0.2106735495364313
28	0.07416832604892042	0.06043812287941063	0.05602397418170723	0.02163388163303506	0.03732130446968494	0.04720804413666763	0.04852301092729578	0.02611459803605554	0.04875568851998742	0.030924986186077016	0.030161803835775606	0.03620365802396151	0.009636763925129214	0.07167264624341847	0.019645958808006948	0.024597284022250348	0.036523122287253594	0.008706895210587153	0.02469978160904132	0.019301932787040284	0.11894911818409111	0.015333442981795384	0.01713469875440413	0.0023729824693231294	0.057091409492394135	0.054028741630017085
29	0.06870118792033875	0.04977264414626903	0.04650117838052017	0.017636375537372868	0.032180682566985336	0.04157990194062686	0.04431433181317902	0.02152594093970179	0.0400063489793012	0.02666969020741425	0.026714024318476633	0.0333403845862463	0.007674291658489475	0.06245454208956361	0.016573767502682146	0.023234986701002408	0.0363979705851538	0.006996120442091695	0.02546848674542207	0.018120883493663312	0.16229375108993568	0.015549189466177189	0.015904345239076353	0.0018330443916579552	0.08037452285935777	0.07580330719160687
30	0.06374701610904536	0.044066864299656505	0.04153199183333177	0.01520446905630958	0.025185025780314677	0.039239694530833535	0.03403086104849795	0.019884451771431458	0.036931667024156095	0.019096975387058623	0.025605472209100075	0.02628186827483054	0.007280394984884145	0.07466373981375986	0.01365787733547157	0.019773062059539187	0.035569215852551295	0.006295259737438086	0.02437353613738806	0.016203440152773176	0.18958276564308352	0.01689137061597805	0.017428930531778904	0.00177559700528286	0.09488989743187672	0.0890910645918578
31	0.03696446184607369	0.034735663153062306	0.05629770331678596	0.006953142455006502	0.012449726970598674	0.05725136263578558	0.01802356957492089	0.009582087564637213	0.0674240237528692	0.009301747775045712	0.013811884878267192	0.0207764864576313	0.00333530335724397	0.2294925757116987	0.007104000703340804	0.011490374887510972	0.029185590126256735	0.0029547514266594905	0.01550978060928588	0.009126827553555022	0.16380641638362387	0.01147805051075004	0.00975104251725992	0.0010612967179733164	0.08307433328697106	0.07817275798557106
32	0.011149024803834031	0.005739482129887056	0.00611838425937447	0.00180745465533042	0.0036855546097947028	0.006092249935370753	0.004331807018038358	0.0033066775179811762	0.00564915721907766	0.0023893191798981628	0.0031259545863546326	0.004735487431111744	0.0009874488023635308	0.013260333664941634	0.0017160000446752224	0.002510910136351246	0.004772069475675215	0.0007606595553049527	0.0031981251805817193	0.0022350901132723597	0.4544006532100774	0.0022250640271408704	0.0024365762871002843	0.0011389627836329791	0.23173479756908463	0.22027111930997229
33	0.03442278360569031	0.02328683836669218	0.03724289520297491	0.005985934875138646	0.01186397230877105	0.03902427968499844	0.017176056559337845	0.00834694199985357	0.04530223920331025	0.008427178911265076	0.012858375057579328	0.016535997046709553	0.0028466754543799893	0.12605702197803806	0.006521372982178612	0.01086073425089879	0.023938166244328374	0.002489166049340313	0.016146462392989384	0.008947225642239475	0.2598758659651614	0.010287577783979518	0.010793975031156899	0.001224220663615729	0.13260253175411676	0.12609703955580853
5	0.04474967307004458	0.03194255880318846	0.027894668344312964	0.013233837582031779	0.02138446606845909	0.044819799162449506	0.028496102601334488	0.016150712839485132	0.025246777896857107	0.017944376314673906	0.018898824883109063	0.023040470568253167	0.005642771347390311	0.1095393354277076	0.011095186849160346	0.016105310262898905	0.02315586600813676	0.005011327233889085	0.014966329864117158	0.010943648255666506	0.2366278801206774	0.008406142882013197	0.010242025709753804	0.001315213958999808	0.1202643118942132	0.11115908733569592
